mlb_game_pk,date,game_date_time,away_team_id,away_team_name,away_score,home_team_id,home_team_name,home_score,venue,status
778464,2025-04-04,2025-04-04T23:15:00Z,146,Miami Marlins,0.0,144,Atlanta Braves,10.0,Truist Park,Final
778455,2025-04-04,2025-04-04T23:40:00Z,110,Baltimore Orioles,2.0,118,Kansas City Royals,8.0,Kauffman Stadium,Final
778454,2025-04-04,2025-04-05T00:05:00Z,139,Tampa Bay Rays,2.0,140,Texas Rangers,5.0,Globe Life Field,Final
778453,2025-04-04,2025-04-05T00:10:00Z,113,Cincinnati Reds,2.0,158,Milwaukee Brewers,3.0,American Family Field,Final
778447,2025-04-04,2025-04-05T01:38:00Z,114,Cleveland Guardians,8.0,108,Los Angeles Angels,6.0,Angel Stadium,Final
778445,2025-04-05,2025-04-05T17:10:00Z,145,Chicago White Sox,2.0,116,Detroit Tigers,7.0,Comerica Park,Final
778440,2025-04-05,2025-04-05T18:10:00Z,117,Houston Astros,1.0,142,Minnesota Twins,6.0,Target Field,Final
778450,2025-04-05,2025-04-05T18:20:00Z,135,San Diego Padres,1.0,112,Chicago Cubs,7.0,Wrigley Field,Final
778452,2025-04-05,2025-04-05T20:05:00Z,109,Arizona Diamondbacks,3.0,120,Washington Nationals,4.0,Nationals Park,Final
778448,2025-04-05,2025-04-05T20:05:00Z,119,Los Angeles Dodgers,3.0,143,Philadelphia Phillies,1.0,Citizens Bank Park,Final
778449,2025-04-05,2025-04-05T20:05:00Z,147,New York Yankees,10.0,134,Pittsburgh Pirates,4.0,PNC Park,Final
778441,2025-04-05,2025-04-05T20:10:00Z,110,Baltimore Orioles,8.0,118,Kansas City Royals,1.0,Kauffman Stadium,Final
778438,2025-04-05,2025-04-05T23:05:00Z,139,Tampa Bay Rays,4.0,140,Texas Rangers,6.0,Globe Life Field,Final
778446,2025-04-05,2025-04-05T23:10:00Z,141,Toronto Blue Jays,2.0,121,New York Mets,3.0,Citi Field,Final
778439,2025-04-05,2025-04-05T23:10:00Z,113,Cincinnati Reds,11.0,158,Milwaukee Brewers,7.0,American Family Field,Final
778451,2025-04-05,2025-04-05T23:15:00Z,146,Miami Marlins,4.0,144,Atlanta Braves,0.0,Truist Park,Final
778442,2025-04-05,2025-04-06T00:10:00Z,133,Athletics,7.0,115,Colorado Rockies,4.0,Coors Field,Final
778436,2025-04-05,2025-04-06T01:05:00Z,136,Seattle Mariners,1.0,137,San Francisco Giants,4.0,Oracle Park,Final
778437,2025-04-05,2025-04-06T01:38:00Z,114,Cleveland Guardians,4.0,108,Los Angeles Angels,10.0,Angel Stadium,Final
778443,2025-04-06,2025-04-05T20:10:00Z,138,St. Louis Cardinals,,111,Boston Red Sox,,Fenway Park,Postponed
778429,2025-04-06,2025-04-06T17:35:00Z,109,Arizona Diamondbacks,4.0,120,Washington Nationals,5.0,Nationals Park,Final
778443,2025-04-06,2025-04-06T17:35:00Z,138,St. Louis Cardinals,4.0,111,Boston Red Sox,5.0,Fenway Park,Final
778432,2025-04-06,2025-04-06T23:10:00Z,138,St. Louis Cardinals,7.0,111,Boston Red Sox,18.0,Fenway Park,Final
778434,2025-04-06,2025-04-06T17:35:00Z,119,Los Angeles Dodgers,7.0,143,Philadelphia Phillies,8.0,Citizens Bank Park,Final
778428,2025-04-06,2025-04-06T17:35:00Z,147,New York Yankees,4.0,134,Pittsburgh Pirates,5.0,PNC Park,Final
778435,2025-04-06,2025-04-06T17:40:00Z,141,Toronto Blue Jays,1.0,121,New York Mets,2.0,Citi Field,Final
778433,2025-04-06,2025-04-06T17:40:00Z,145,Chicago White Sox,3.0,116,Detroit Tigers,4.0,Comerica Park,Final
778422,2025-04-06,2025-04-06T18:10:00Z,110,Baltimore Orioles,1.0,118,Kansas City Royals,4.0,Kauffman Stadium,Final
778419,2025-04-06,2025-04-06T18:10:00Z,117,Houston Astros,9.0,142,Minnesota Twins,7.0,Target Field,Final
778421,2025-04-06,2025-04-06T18:10:00Z,113,Cincinnati Reds,2.0,158,Milwaukee Brewers,8.0,American Family Field,Final
778430,2025-04-06,2025-04-06T18:20:00Z,135,San Diego Padres,8.0,112,Chicago Cubs,7.0,Wrigley Field,Final
778420,2025-04-06,2025-04-06T18:35:00Z,139,Tampa Bay Rays,3.0,140,Texas Rangers,4.0,Globe Life Field,Final
778423,2025-04-06,2025-04-06T19:10:00Z,133,Athletics,5.0,115,Colorado Rockies,12.0,Coors Field,Final
778427,2025-04-06,2025-04-06T20:05:00Z,136,Seattle Mariners,4.0,137,San Francisco Giants,5.0,Oracle Park,Final
778425,2025-04-06,2025-04-06T20:07:00Z,114,Cleveland Guardians,2.0,108,Los Angeles Angels,6.0,Angel Stadium,Final
778431,2025-08-09,2025-04-06T17:35:00Z,146,Miami Marlins,,144,Atlanta Braves,,Truist Park,Postponed
778424,2025-04-07,2025-04-07T19:10:00Z,147,New York Yankees,2.0,116,Detroit Tigers,6.0,Comerica Park,Final
778415,2025-04-07,2025-04-07T22:40:00Z,138,St. Louis Cardinals,4.0,134,Pittsburgh Pirates,8.0,PNC Park,Final
778418,2025-04-07,2025-04-07T22:45:00Z,119,Los Angeles Dodgers,4.0,120,Washington Nationals,6.0,Nationals Park,Final
778426,2025-04-07,2025-04-07T22:45:00Z,141,Toronto Blue Jays,6.0,111,Boston Red Sox,2.0,Fenway Park,Final
778416,2025-04-07,2025-04-07T23:10:00Z,146,Miami Marlins,0.0,121,New York Mets,2.0,Citi Field,Final
778411,2025-04-07,2025-04-07T23:40:00Z,140,Texas Rangers,0.0,112,Chicago Cubs,7.0,Wrigley Field,Final
778412,2025-04-07,2025-04-07T23:40:00Z,142,Minnesota Twins,2.0,118,Kansas City Royals,4.0,Kauffman Stadium,Final
778413,2025-04-07,2025-04-08T01:40:00Z,110,Baltimore Orioles,5.0,109,Arizona Diamondbacks,1.0,Chase Field,Final
778405,2025-04-07,2025-04-08T01:40:00Z,117,Houston Astros,3.0,136,Seattle Mariners,4.0,T-Mobile Park,Final
778410,2025-04-07,2025-04-08T01:45:00Z,113,Cincinnati Reds,2.0,137,San Francisco Giants,0.0,Oracle Park,Final
778414,2025-04-07,2025-04-08T02:05:00Z,135,San Diego Padres,5.0,133,Athletics,4.0,Sutter Health Park,Final
778403,2025-04-08,2025-04-08T17:10:00Z,147,New York Yankees,0.0,116,Detroit Tigers,5.0,Comerica Park,Final
778402,2025-04-08,2025-04-08T20:10:00Z,145,Chicago White Sox,0.0,114,Cleveland Guardians,1.0,Progressive Field,Final
778407,2025-04-08,2025-04-08T20:10:00Z,146,Miami Marlins,5.0,121,New York Mets,10.0,Citi Field,Final
778408,2025-04-08,2025-04-08T22:40:00Z,138,St. Louis Cardinals,5.0,134,Pittsburgh Pirates,3.0,PNC Park,Final
778409,2025-04-08,2025-04-08T22:45:00Z,119,Los Angeles Dodgers,2.0,120,Washington Nationals,8.0,Nationals Park,Final
778404,2025-04-08,2025-04-08T22:45:00Z,141,Toronto Blue Jays,6.0,111,Boston Red Sox,1.0,Fenway Park,Final
778417,2025-04-08,2025-04-08T23:05:00Z,108,Los Angeles Angels,4.0,139,Tampa Bay Rays,3.0,George M. Steinbrenner Field,Final
778406,2025-04-08,2025-04-08T23:15:00Z,143,Philadelphia Phillies,5.0,144,Atlanta Braves,7.0,Truist Park,Final
778401,2025-04-08,2025-04-08T23:40:00Z,140,Texas Rangers,6.0,112,Chicago Cubs,10.0,Wrigley Field,Final
778400,2025-04-08,2025-04-08T23:40:00Z,142,Minnesota Twins,1.0,118,Kansas City Royals,2.0,Kauffman Stadium,Final
778394,2025-04-08,2025-04-09T00:40:00Z,158,Milwaukee Brewers,7.0,115,Colorado Rockies,1.0,Coors Field,Final
778396,2025-04-08,2025-04-09T01:40:00Z,110,Baltimore Orioles,3.0,109,Arizona Diamondbacks,4.0,Chase Field,Final
778398,2025-04-08,2025-04-09T01:40:00Z,117,Houston Astros,2.0,136,Seattle Mariners,1.0,T-Mobile Park,Final
778397,2025-04-08,2025-04-09T01:45:00Z,113,Cincinnati Reds,1.0,137,San Francisco Giants,0.0,Oracle Park,Final
778395,2025-04-08,2025-04-09T02:05:00Z,135,San Diego Padres,4.0,133,Athletics,10.0,Sutter Health Park,Final
778389,2025-04-09,2025-04-09T16:35:00Z,138,St. Louis Cardinals,1.0,134,Pittsburgh Pirates,2.0,PNC Park,Final
778390,2025-04-09,2025-04-09T17:10:00Z,146,Miami Marlins,5.0,121,New York Mets,0.0,Citi Field,Final
778387,2025-04-09,2025-04-09T17:10:00Z,147,New York Yankees,4.0,116,Detroit Tigers,3.0,Comerica Park,Final
778385,2025-04-09,2025-04-09T18:20:00Z,140,Texas Rangers,6.0,112,Chicago Cubs,2.0,Wrigley Field,Final
778381,2025-04-09,2025-04-09T19:35:00Z,135,San Diego Padres,2.0,133,Athletics,1.0,Sutter Health Park,Final
778380,2025-04-09,2025-04-09T19:40:00Z,110,Baltimore Orioles,0.0,109,Arizona Diamondbacks,9.0,Chase Field,Final
778376,2025-04-09,2025-04-09T19:45:00Z,113,Cincinnati Reds,6.0,137,San Francisco Giants,8.0,Oracle Park,Final
778392,2025-04-09,2025-04-09T20:05:00Z,119,Los Angeles Dodgers,6.0,120,Washington Nationals,5.0,Nationals Park,Final
778383,2025-04-09,2025-04-09T20:10:00Z,117,Houston Astros,6.0,136,Seattle Mariners,7.0,T-Mobile Park,Final
778391,2025-04-09,2025-04-09T22:10:00Z,145,Chicago White Sox,2.0,114,Cleveland Guardians,3.0,Progressive Field,Final
778386,2025-04-09,2025-04-09T22:45:00Z,141,Toronto Blue Jays,2.0,111,Boston Red Sox,1.0,Fenway Park,Final
