game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
566676,3.111111111111111,2.4444444444444446,2.8947368421052633,2.473684210526316
566777,1.375,2.6,2.3076923076923075,3.3
567374,2.2222222222222223,2.0,2.3529411764705883,1.9333333333333333
567470,3.0,1.7272727272727273,2.9285714285714284,1.9375
567565,2.0,7.0,2.2222222222222223,4.0
564745,1.2857142857142858,3.2857142857142856,1.40625,3.3846153846153846
564940,2.3,1.5,2.2222222222222223,1.7857142857142858
565423,1.8,1.8571428571428572,2.176470588235294,1.5625
565612,1.75,9.0,3.0,2.8666666666666667
565995,1.8571428571428572,3.1666666666666665,1.7272727272727273,4.0
566099,2.727272727272727,1.8571428571428572,2.75,2.0714285714285716
566189,4.75,3.8,3.888888888888889,5.125
566577,4.333333333333333,1.75,3.5,2.15
566677,2.4285714285714284,1.3846153846153846,2.761904761904762,1.6666666666666667
564746,1.5454545454545454,2.6,1.588235294117647,3.066666666666667
564941,2.875,2.4285714285714284,2.3684210526315788,2.25
565033,3.0,3.0,2.6666666666666665,1.8
565034,2.4444444444444446,2.8333333333333335,2.2,1.9444444444444444
565133,6.5,8.5,2.25,5.0
565231,7.333333333333333,2.0,3.076923076923077,1.8928571428571428
565325,1.5,2.75,1.7058823529411764,2.388888888888889
565424,2.0,1.4285714285714286,2.235294117647059,1.5714285714285714
565613,1.625,3.0,2.5714285714285716,3.0833333333333335
565996,2.4,2.5714285714285716,1.8,4.0
566100,4.285714285714286,2.0,2.823529411764706,2.0
566190,2.6666666666666665,4.75,3.4444444444444446,4.555555555555555
566288,4.5,2.4285714285714284,3.0,2.3333333333333335
566578,5.0,1.375,3.8461538461538463,2.0454545454545454
566678,2.0,1.6666666666666667,2.5652173913043477,1.8235294117647058
566874,4.0,1.375,2.9285714285714284,3.4166666666666665
564747,1.8333333333333333,2.0,1.4864864864864864,2.75
564942,4.0,4.666666666666667,2.4705882352941178,2.0714285714285716
