Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
498.0,Roman Anthony*,21.0,BOS,AL,-0.1,4.0,17.0,15.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.067,0.176,0.133,0.31,-11.0,0.155,-20.0,2.0,0.0,0.0,0.0,0.0,0.0,/9,
499.0,Dominic Canzone*,27.0,SEA,AL,0.2,6.0,17.0,15.0,2.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,5.0,0.267,0.353,0.533,0.886,156.0,0.396,157.0,8.0,0.0,0.0,0.0,0.0,0.0,/9H,
500.0,Jerar EncarnaciÃ³n,27.0,SFG,NL,-0.3,6.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.059,0.059,0.059,0.118,-66.0,0.062,-87.0,1.0,2.0,0.0,0.0,0.0,0.0,/9H37,
501.0,Daniel Johnson*,29.0,SFG,NL,0.0,5.0,17.0,16.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.188,0.235,0.25,0.485,41.0,0.236,38.0,4.0,0.0,0.0,0.0,0.0,0.0,/897H,
502.0,Scott Kingery,31.0,LAA,AL,-0.2,6.0,17.0,16.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.125,0.176,0.188,0.364,3.0,0.161,-14.0,3.0,1.0,0.0,0.0,0.0,0.0,/4,
503.0,Owen Miller,28.0,COL,NL,0.0,9.0,17.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.143,0.294,0.143,0.437,24.0,0.246,29.0,2.0,0.0,1.0,0.0,0.0,0.0,/4H5D,
504.0,Gage Workman*,25.0,2TM,2LG,-0.3,12.0,17.0,16.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,0.188,0.235,0.25,0.485,40.0,0.231,31.0,4.0,0.0,0.0,0.0,0.0,0.0,/56HD,
504.0,Gage Workman*,25.0,CHC,NL,-0.2,9.0,15.0,14.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,0.214,0.267,0.286,0.552,60.0,0.261,53.0,4.0,0.0,0.0,0.0,0.0,0.0,/56DH,
504.0,Gage Workman*,25.0,CHW,AL,-0.1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-132.0,0.0,0.0,0.0,0.0,0.0,0.0,/56H,
505.0,Jorge Barrosa#,24.0,ARI,NL,-0.1,5.0,16.0,15.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.2,0.188,0.333,0.521,42.0,0.214,23.0,5.0,0.0,0.0,0.0,1.0,0.0,/87DH,
506.0,Braxton Fulford,26.0,COL,NL,-0.2,6.0,16.0,16.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.125,0.125,0.313,0.438,14.0,0.185,-6.0,5.0,0.0,0.0,0.0,0.0,0.0,/2H,
507.0,Andrew Knizner,30.0,SFG,NL,-0.2,5.0,16.0,15.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.067,0.125,0.267,0.392,10.0,0.172,1.0,4.0,0.0,0.0,0.0,0.0,0.0,/2,
508.0,Tirso Ornelas*,25.0,SDP,NL,-0.3,7.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.071,0.188,0.071,0.259,-24.0,0.144,-28.0,1.0,1.0,0.0,0.0,0.0,0.0,/7H8D,
509.0,Jurickson Profar#,32.0,ATL,NL,-0.3,4.0,16.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2,0.25,0.2,0.45,28.0,0.213,22.0,3.0,0.0,0.0,0.0,0.0,0.0,/7,
510.0,Drew Avans*,29.0,ATH,AL,-0.2,7.0,15.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.133,0.133,0.133,0.267,-24.0,0.136,-45.0,2.0,0.0,0.0,0.0,0.0,0.0,/789H,
511.0,Tucker Barnhart*,34.0,TEX,AL,0.0,8.0,15.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.231,0.333,0.231,0.564,69.0,0.273,76.0,3.0,2.0,1.0,0.0,0.0,0.0,/21,
512.0,Jacob Hurtubise*,27.0,CIN,NL,-0.1,12.0,15.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.083,0.267,0.083,0.35,1.0,0.204,9.0,1.0,0.0,2.0,0.0,0.0,0.0,/H79,
513.0,Ryan Vilade,26.0,STL,NL,-0.1,7.0,15.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.077,0.2,0.077,0.277,-18.0,0.153,-20.0,1.0,1.0,0.0,0.0,0.0,0.0,/9H7D,
514.0,Luke Williams,28.0,ATL,NL,-0.3,16.0,15.0,14.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.143,0.2,0.214,0.414,16.0,0.243,9.0,3.0,1.0,1.0,0.0,0.0,0.0,6H/D,
515.0,Will Brennan*,27.0,CLE,AL,-0.2,6.0,13.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.091,0.231,0.091,0.322,-4.0,0.132,-7.0,1.0,1.0,1.0,0.0,0.0,0.0,/98H,
516.0,Blaine Crim,28.0,TEX,AL,-0.3,5.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.154,0.0,0.154,-50.0,0.108,-45.0,0.0,0.0,1.0,0.0,0.0,0.0,/3DH,
517.0,Ji Hwan Bae*,25.0,PIT,NL,-0.2,7.0,12.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.091,0.167,0.091,0.258,-25.0,0.167,-40.0,1.0,0.0,0.0,0.0,0.0,0.0,/8H7D,
518.0,Gustavo Campero#,27.0,LAA,AL,0.0,5.0,12.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,0.333,0.2,0.533,56.0,0.277,56.0,2.0,0.0,0.0,0.0,0.0,0.0,/79H,
519.0,Brett Wisely*,26.0,SFG,NL,-0.3,5.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,-0.05,-165.0,0.0,0.0,0.0,2.0,0.0,0.0,/4DH,
520.0,Ali SÃ¡nchez,28.0,TOR,AL,-0.2,5.0,11.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.182,0.182,0.273,0.455,25.0,0.186,2.0,3.0,1.0,0.0,0.0,0.0,0.0,/23H,
521.0,Nick Solak,30.0,PIT,NL,-0.5,4.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.091,0.091,0.091,0.182,-49.0,0.073,-78.0,1.0,0.0,0.0,0.0,0.0,0.0,/347H,
522.0,Ildemaro Vargas#,33.0,ARI,NL,-0.2,5.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.091,0.091,0.091,0.182,-49.0,0.082,-72.0,1.0,0.0,0.0,0.0,0.0,0.0,/H456D,
