game_pk,date,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10
381269,2014-05-24,0.0,3.0,0.0,4.555555555555555
381270,2014-05-24,2.4285714285714284,3.125,2.4285714285714284,3.142857142857143
381271,2014-05-24,2.8,2.2,2.1666666666666665,2.2
381272,2014-05-24,2.076923076923077,1.3636363636363635,1.5769230769230769,1.6153846153846154
381273,2014-05-24,2.1666666666666665,2.9,1.6666666666666667,3.8
381274,2014-05-24,1.7857142857142858,0.0,1.95,0.0
381275,2014-05-24,5.25,0.7777777777777778,4.714285714285714,0.7777777777777778
381276,2014-05-24,3.1,5.333333333333333,2.9444444444444446,4.625
381247,2014-05-25,0.0,0.0,0.0,0.0
381277,2014-05-25,1.1666666666666667,5.0,1.1666666666666667,2.75
381278,2014-05-25,2.6923076923076925,0.0,2.260869565217391,0.0
381279,2014-05-25,6.333333333333333,3.625,4.714285714285714,3.769230769230769
381280,2014-05-25,3.4444444444444446,2.6,2.9285714285714284,2.6
381281,2014-05-25,3.0,1.6363636363636365,3.0,1.85
381282,2014-05-25,9.0,5.166666666666667,9.0,4.583333333333333
381283,2014-05-25,3.875,5.6,2.5,3.5384615384615383
381284,2014-05-25,2.3076923076923075,3.3333333333333335,1.6666666666666667,2.7058823529411766
381285,2014-05-25,0.0,0.0,0.0,0.0
381286,2014-05-25,4.125,3.125,3.823529411764706,2.466666666666667
381287,2014-05-25,1.6153846153846154,6.333333333333333,1.6,9.125
381288,2014-05-25,1.7777777777777777,4.0,1.7777777777777777,4.0
381289,2014-05-25,3.6666666666666665,5.0,3.1666666666666665,4.333333333333333
381290,2014-05-25,1.4666666666666666,3.0,1.8148148148148149,3.5
381291,2014-05-25,1.75,13.0,2.2083333333333335,13.0
381292,2014-05-26,1.0,3.8333333333333335,0.85,2.7857142857142856
381293,2014-05-26,7.666666666666667,1.2142857142857142,4.153846153846154,1.9130434782608696
381294,2014-05-26,2.4,1.4615384615384615,3.4285714285714284,2.1875
381295,2014-05-26,4.333333333333333,2.25,4.333333333333333,2.5714285714285716
381296,2014-05-26,5.2,6.142857142857143,3.3333333333333335,4.555555555555555
381297,2014-05-26,3.857142857142857,4.0,3.0625,4.0
381298,2014-05-26,2.0,1.1,2.3333333333333335,1.1
381299,2014-05-26,2.1,2.1538461538461537,1.875,2.0
381300,2014-05-26,4.142857142857143,2.25,3.5,1.8333333333333333
381301,2014-05-26,3.4285714285714284,2.4444444444444446,2.8,4.0
381302,2014-05-26,3.4444444444444446,2.3333333333333335,3.8823529411764706,2.3333333333333335
381303,2014-05-26,2.0,9.0,2.0,9.0
381304,2014-05-26,8.25,2.5384615384615383,4.583333333333333,2.3461538461538463
381305,2014-05-26,2.888888888888889,2.0,3.2777777777777777,1.6470588235294117
381306,2014-05-26,2.0,2.4,2.0,2.4
381307,2014-05-27,2.8181818181818183,3.5,2.08,2.6315789473684212
381308,2014-05-27,1.5,3.4,2.1363636363636362,3.4
381309,2014-05-27,6.2,4.0,3.5555555555555554,4.222222222222222
381310,2014-05-27,5.5,2.2222222222222223,9.5,2.2222222222222223
381311,2014-05-27,2.7777777777777777,3.8,4.642857142857143,2.5714285714285716
381312,2014-05-27,5.571428571428571,1.25,5.571428571428571,1.7
381313,2014-05-27,2.9166666666666665,1.75,3.076923076923077,2.05
381314,2014-05-27,2.4,2.4285714285714284,2.391304347826087,3.5454545454545454
381315,2014-05-27,2.0,2.4166666666666665,2.0714285714285716,3.4166666666666665
381317,2014-05-27,2.090909090909091,2.125,2.95,2.125
381318,2014-05-27,3.0,1.6,2.8666666666666667,2.0
381319,2014-05-27,2.0,4.333333333333333,1.9130434782608696,3.125
381320,2014-05-27,2.1,2.857142857142857,2.2222222222222223,2.857142857142857
381321,2014-05-27,0.0,0.5,7.833333333333333,0.5
381322,2014-05-28,3.857142857142857,2.3846153846153846,4.846153846153846,2.56
