Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
136.0,Yainer Diaz,26.0,HOU,AL,0.1,43.0,170.0,165.0,15.0,37.0,6.0,1.0,5.0,22.0,0.0,1.0,4.0,33.0,0.224,0.247,0.364,0.611,71.0,0.276,74.0,60.0,5.0,1.0,0.0,0.0,0.0,*2/DH,
137.0,Wyatt Langford,23.0,TEX,AL,1.9,40.0,170.0,149.0,20.0,37.0,7.0,0.0,9.0,20.0,9.0,2.0,18.0,39.0,0.248,0.329,0.477,0.806,130.0,0.359,132.0,71.0,5.0,1.0,0.0,2.0,0.0,*7,
138.0,Jonathan Aranda*,27.0,TBR,AL,1.5,45.0,169.0,147.0,20.0,45.0,9.0,0.0,6.0,24.0,0.0,0.0,18.0,42.0,0.306,0.391,0.49,0.88,152.0,0.385,155.0,72.0,3.0,3.0,0.0,1.0,0.0,*3/HD,
139.0,Gabriel Arias,25.0,CLE,AL,0.7,46.0,169.0,152.0,21.0,37.0,8.0,0.0,4.0,20.0,2.0,2.0,12.0,46.0,0.243,0.304,0.375,0.679,93.0,0.291,86.0,57.0,3.0,2.0,1.0,2.0,0.0,46/5H,
140.0,Ben Rice*,26.0,NYY,AL,1.1,43.0,169.0,147.0,27.0,37.0,10.0,1.0,10.0,22.0,2.0,1.0,15.0,40.0,0.252,0.343,0.537,0.881,146.0,0.377,145.0,79.0,5.0,6.0,0.0,1.0,0.0,D/3H2,
141.0,Ceddanne Rafaela,24.0,BOS,AL,1.6,46.0,168.0,153.0,26.0,36.0,8.0,2.0,2.0,18.0,7.0,0.0,9.0,34.0,0.235,0.289,0.353,0.642,80.0,0.297,77.0,54.0,0.0,3.0,2.0,1.0,0.0,*8/H,
142.0,Lenyn Sosa,25.0,CHW,AL,0.3,47.0,167.0,162.0,13.0,44.0,8.0,0.0,4.0,13.0,1.0,0.0,4.0,38.0,0.272,0.289,0.395,0.684,94.0,0.305,94.0,64.0,3.0,0.0,1.0,0.0,0.0,*4/3H5D,
143.0,Brenton Doyle,27.0,COL,NL,-0.3,40.0,166.0,152.0,15.0,32.0,6.0,0.0,4.0,18.0,5.0,0.0,13.0,39.0,0.211,0.271,0.329,0.6,61.0,0.285,61.0,50.0,4.0,0.0,0.0,1.0,0.0,*8/H,
144.0,Jackson Holliday*,21.0,BAL,AL,0.7,43.0,166.0,153.0,16.0,41.0,4.0,2.0,6.0,19.0,2.0,4.0,10.0,36.0,0.268,0.325,0.438,0.763,120.0,0.341,131.0,67.0,2.0,3.0,0.0,0.0,0.0,*4/6H,
145.0,Joey Ortiz,26.0,MIL,NL,-1.3,48.0,166.0,153.0,15.0,26.0,4.0,0.0,1.0,6.0,4.0,2.0,10.0,27.0,0.17,0.226,0.216,0.441,25.0,0.203,15.0,33.0,4.0,1.0,2.0,0.0,0.0,*6/H,
146.0,Luis GarcÃ­a Jr.*,25.0,WSN,NL,-0.5,42.0,165.0,148.0,20.0,34.0,7.0,0.0,4.0,18.0,6.0,1.0,10.0,24.0,0.23,0.279,0.358,0.637,80.0,0.29,78.0,53.0,0.0,2.0,0.0,5.0,0.0,*4/H,
147.0,Freddie Freeman*,35.0,LAD,NL,2.0,39.0,164.0,144.0,28.0,53.0,13.0,1.0,9.0,34.0,0.0,1.0,16.0,30.0,0.368,0.427,0.66,1.087,204.0,0.45,200.0,95.0,5.0,1.0,0.0,3.0,3.0,*3/H,
148.0,Andrew McCutchen,38.0,PIT,NL,0.3,43.0,164.0,140.0,12.0,34.0,7.0,0.0,3.0,14.0,1.0,0.0,20.0,29.0,0.243,0.344,0.357,0.701,96.0,0.316,94.0,50.0,4.0,2.0,0.0,1.0,1.0,D/9H7,
149.0,Luis Rengifo#,28.0,LAA,AL,-1.2,44.0,163.0,154.0,14.0,34.0,7.0,0.0,1.0,10.0,1.0,3.0,8.0,27.0,0.221,0.258,0.286,0.543,54.0,0.239,48.0,44.0,5.0,0.0,0.0,1.0,0.0,54/HD,
150.0,Jake Meyers,29.0,HOU,AL,1.5,48.0,162.0,144.0,22.0,44.0,7.0,1.0,3.0,16.0,8.0,2.0,15.0,27.0,0.306,0.369,0.431,0.799,127.0,0.356,127.0,62.0,4.0,0.0,2.0,1.0,0.0,*8/H,
151.0,Josh Bell#,32.0,WSN,NL,-0.8,41.0,161.0,142.0,14.0,22.0,1.0,1.0,6.0,15.0,0.0,1.0,17.0,37.0,0.155,0.255,0.303,0.557,58.0,0.257,60.0,43.0,6.0,2.0,0.0,0.0,0.0,*D/3H,
152.0,CJ Abrams*,24.0,WSN,NL,1.8,36.0,160.0,144.0,24.0,45.0,9.0,2.0,8.0,18.0,9.0,2.0,10.0,31.0,0.313,0.371,0.569,0.941,164.0,0.416,167.0,82.0,1.0,4.0,1.0,1.0,0.0,*6,
153.0,Gleyber Torres,28.0,DET,AL,0.7,37.0,160.0,139.0,20.0,39.0,6.0,0.0,5.0,24.0,4.0,0.0,16.0,15.0,0.281,0.363,0.432,0.794,126.0,0.356,127.0,60.0,3.0,3.0,0.0,2.0,0.0,4/DH,
154.0,Austin Wells*,25.0,NYY,AL,0.5,43.0,160.0,140.0,16.0,28.0,8.0,1.0,8.0,28.0,2.0,0.0,12.0,37.0,0.2,0.269,0.443,0.712,98.0,0.311,95.0,62.0,4.0,3.0,0.0,5.0,0.0,*2/H,
155.0,Masyn Winn,23.0,STL,NL,1.0,39.0,160.0,139.0,27.0,36.0,6.0,0.0,5.0,16.0,2.0,4.0,16.0,37.0,0.259,0.344,0.41,0.754,110.0,0.323,108.0,57.0,2.0,3.0,0.0,2.0,0.0,*6,
156.0,Jasson DomÃ­nguez#,22.0,NYY,AL,0.7,40.0,159.0,137.0,25.0,33.0,9.0,0.0,6.0,22.0,4.0,0.0,20.0,46.0,0.241,0.34,0.438,0.778,120.0,0.352,123.0,60.0,2.0,1.0,0.0,1.0,0.0,*7/DH,
157.0,Josh Jung,27.0,TEX,AL,1.3,41.0,158.0,151.0,16.0,43.0,6.0,1.0,7.0,19.0,3.0,1.0,7.0,35.0,0.285,0.316,0.477,0.793,126.0,0.347,127.0,72.0,3.0,0.0,0.0,0.0,0.0,*5,
158.0,Josh Smith*,27.0,TEX,AL,1.4,42.0,158.0,141.0,19.0,40.0,4.0,1.0,4.0,11.0,5.0,2.0,14.0,28.0,0.284,0.35,0.411,0.762,120.0,0.346,127.0,58.0,0.0,1.0,1.0,1.0,1.0,6/53H4789D,
159.0,Carlos Correa,30.0,MIN,AL,0.3,41.0,157.0,148.0,14.0,35.0,8.0,0.0,2.0,13.0,0.0,0.0,8.0,29.0,0.236,0.274,0.331,0.605,69.0,0.264,59.0,49.0,6.0,0.0,0.0,1.0,0.0,*6,
