Date,Fav Team,Dog Team,Away,Home,Fav Home?,Fav Moneyline Odds,Dog Moneyline Odds,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home Spread Odds,Away Score,Home Score,Home/Away +/-,Favorite Starting Pitcher Name,Underdog Starting Pitcher Name,Favorite Starting Pitcher Games Started,Underdog Starting Pitcher Games Started,Favorite Starting Pitcher Innings Pitched,Underdog Starting Pitcher Innings Pitched,Favorite Starting Pitcher Wins,Underdog Starting Pitcher Wins,Favorite Starting Pitcher Losses,Underdog Starting Pitcher Losses,Favorite Starting Pitcher ERA,Underdog Starting Pitcher ERA,Favorite Starting Pitcher WHIP,Underdog Starting Pitcher WHIP,Favorite Starting Pitcher Strikeouts,Underdog Starting Pitcher Strikeouts,Favorite Starting Pitcher Walks,Underdog Starting Pitcher Walks,Favorite Starting Pitcher K/9,Underdog Starting Pitcher K/9,Favorite Starting Pitcher BB/9,Underdog Starting Pitcher BB/9,Favorite Starting Pitcher H/9,Underdog Starting Pitcher H/9,Favorite Starting Pitcher K/BB Ratio,Underdog Starting Pitcher K/BB Ratio,Favorite Starting Pitcher Hits Allowed,Underdog Starting Pitcher Hits Allowed,Favorite Starting Pitcher Runs Allowed,Underdog Starting Pitcher Runs Allowed,Favorite Starting Pitcher Earned Runs,Underdog Starting Pitcher Earned Runs,Favorite Starting Pitcher Home Runs Allowed,Underdog Starting Pitcher Home Runs Allowed,Favorite Starting Pitcher Batters Faced,Underdog Starting Pitcher Batters Faced,Favorite Starting Pitcher Opponent Batting Average,Underdog Starting Pitcher Opponent Batting Average,Favorite Starting Pitcher Pitch Count,Underdog Starting Pitcher Pitch Count,Favorite Starting Pitcher Strikes,Underdog Starting Pitcher Strikes,Favorite Starting Pitcher Wild Pitches,Underdog Starting Pitcher Wild Pitches
2025-04-01,TOR,WSH,WSH,TOR,1,,,,,,5,3,2,,1,,,3,5,2,Trevor Williams,Jose Berrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01,MIN,CHW,MIN,CHW,0,,,,,,8,3,5,,1,,,8,3,-5,Simeon Woods Richardson,Shane Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01,ARI,NYY,ARI,NYY,0,,,,,,7,5,2,,1,,,7,5,-2,Corbin Burnes,Will Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01,TB,PIT,PIT,TB,1,,,,,,7,0,7,,1,,,0,7,7,Thomas Harrington,Shane Baz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,PIT,TB,PIT,TB,0,,,,,,4,2,2,,1,,,4,2,-2,Ryan Pepiot,Paul Skenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,MIN,CHW,MIN,CHW,0,,,,,,6,1,5,,1,,,6,1,-5,Pablo Lopez,Sean Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,SF,HOU,SF,HOU,0,,,,,,3,1,2,,1,,,3,1,-2,Logan Webb,Hayden Wesneski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,SD,CLE,CLE,SD,1,,,,,,7,0,7,,1,,,0,7,7,Logan Allen,Michael King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,DET,SEA,DET,SEA,0,,,,,,4,1,3,,1,,,4,1,-3,Casey Mize,Logan Gilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,CHC,OAK,CHC,OAK,0,,,,,,7,4,3,,1,,,7,4,-3,Luis Severino,Justin Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,LAD,ATL,ATL,LAD,1,,,,,,3,1,2,,1,,,1,3,2,Dustin May,Chris Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,TEX,CIN,TEX,CIN,0,,,,,,1,0,1,,1,,,1,0,-1,Hunter Greene,Jack Leiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,STL,LAA,LAA,STL,1,,,,,,12,5,7,,1,,,5,12,7,Yusei Kikuchi,Sonny Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,NYM,MIA,NYM,MIA,0,,,,,,6,5,1,,1,,,6,5,-1,Clay Holmes,Connor Gillispie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,TOR,WSH,WSH,TOR,1,,,,,,4,2,2,,1,,,2,4,2,Easton Lucas,MacKenzie Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,CHC,OAK,CHC,OAK,0,,,,,,10,2,8,,1,,,10,2,-8,Luis Severino,Justin Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,SF,HOU,SF,HOU,0,,,,,,6,3,3,,1,,,6,3,-3,Logan Webb,Hayden Wesneski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,SD,CLE,CLE,SD,1,,,,,,5,2,3,,1,,,2,5,3,Logan Allen,Michael King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,SEA,DET,DET,SEA,1,,,,,,3,2,1,,1,,,2,3,1,Logan Gilbert,Casey Mize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,MIL,KC,KC,MIL,1,,,,,,3,2,1,,1,,,2,3,1,Cole Ragans,Freddy Peralta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,BOS,BAL,BOS,BAL,0,,,,,,3,0,3,,1,,,3,0,-3,Zach Eflin,Garrett Crochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,PHI,COL,COL,PHI,1,,,,,,5,1,4,,1,,,1,5,4,Kyle Freeland,Zack Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,ARI,NYY,ARI,NYY,0,,,,,,4,3,1,,1,,,4,3,-1,Carlos Rodon,Zac Gallen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03,BOS,BAL,BOS,BAL,0,,,,,,8,4,4,,1,,,8,4,-4,Charlie Morton,Tanner Houck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03,LAD,ATL,ATL,LAD,1,,,,,,6,5,1,,1,,,5,6,1,Bryce Elder,Blake Snell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
