Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
137.0,Shota Imanaga*,31.0,CHC,NL,1.0,3.0,2.0,0.6,2.82,8.0,8.0,0.0,0.0,0.0,0.0,44.2,35.0,15.0,14.0,7.0,14.0,0.0,34.0,0.0,0.0,0.0,181.0,135.0,4.54,1.097,7.1,1.4,2.8,6.9,2.43,
138.0,Ben Lively,33.0,CLE,AL,0.9,2.0,2.0,0.5,3.22,9.0,9.0,0.0,0.0,0.0,0.0,44.2,38.0,16.0,16.0,6.0,15.0,0.0,29.0,0.0,0.0,0.0,178.0,127.0,4.54,1.187,7.7,1.2,3.0,5.8,1.93,
139.0,AJ Smith-Shawver,22.0,ATL,NL,0.1,3.0,2.0,0.6,3.86,9.0,9.0,0.0,0.0,0.0,0.0,44.1,42.0,20.0,19.0,4.0,21.0,0.0,42.0,1.0,0.0,3.0,192.0,106.0,3.85,1.421,8.5,0.8,4.3,8.5,2.0,
140.0,Ben Casparius,26.0,LAD,NL,0.8,4.0,1.0,0.8,2.86,22.0,2.0,2.0,0.0,0.0,0.0,44.0,36.0,14.0,14.0,1.0,9.0,0.0,46.0,0.0,0.0,0.0,177.0,136.0,1.9,1.023,7.4,0.2,1.8,9.4,5.11,
141.0,Jose Quintana*,36.0,MIL,NL,1.2,4.0,1.0,0.8,2.66,8.0,8.0,0.0,0.0,0.0,0.0,44.0,40.0,15.0,13.0,5.0,18.0,0.0,31.0,0.0,1.0,1.0,184.0,149.0,4.38,1.318,8.2,1.0,3.7,6.3,1.72,
142.0,Tanner Houck,29.0,BOS,AL,-1.5,0.0,3.0,0.0,8.04,9.0,9.0,0.0,0.0,0.0,0.0,43.2,57.0,41.0,39.0,10.0,17.0,0.0,32.0,5.0,0.0,2.0,203.0,52.0,6.1,1.695,11.7,2.1,3.5,6.6,1.88,
143.0,Ranger SuÃ¡rez*,29.0,PHI,NL,1.5,4.0,1.0,0.8,2.7,7.0,7.0,0.0,0.0,0.0,0.0,43.1,38.0,14.0,13.0,2.0,11.0,0.0,38.0,1.0,0.0,0.0,177.0,154.0,2.76,1.131,7.9,0.4,2.3,7.9,3.45,
144.0,Hayden Birdsong,23.0,SFG,NL,0.4,3.0,1.0,0.75,2.55,15.0,4.0,2.0,0.0,0.0,0.0,42.1,37.0,17.0,12.0,4.0,17.0,0.0,45.0,3.0,0.0,3.0,182.0,151.0,3.6,1.276,7.9,0.9,3.6,9.6,2.65,
145.0,Simeon Woods Richardson,24.0,MIN,AL,-0.4,2.0,3.0,0.4,5.74,9.0,8.0,0.0,0.0,0.0,0.0,42.1,51.0,28.0,27.0,8.0,17.0,0.0,39.0,2.0,0.0,2.0,192.0,73.0,5.04,1.606,10.8,1.7,3.6,8.3,2.29,
146.0,Stephen Kolek,28.0,SDP,NL,0.9,3.0,1.0,0.75,3.0,7.0,7.0,0.0,1.0,1.0,0.0,42.0,36.0,15.0,14.0,3.0,16.0,0.0,29.0,3.0,0.0,0.0,173.0,136.0,3.98,1.238,7.7,0.6,3.4,6.2,1.81,
