game_pk,home_batting_bb_per_g_rolling_10,away_batting_bb_per_g_rolling_10
777909,2.9,2.9
777911,3.0,3.3
777912,3.7,2.7
777913,3.5,3.6
777910,3.6,3.4
777946,3.3,2.5
777900,3.3,2.2
777902,3.6,3.7
777905,3.1,3.1
777907,2.9,2.7
777904,4.5,3.2
777906,3.2,2.9
777908,2.2,2.7
777903,3.1,3.1
777901,2.5,3.8
777895,3.2,3.3
777898,3.1,3.3
777897,3.6,2.9
777896,3.9,2.9
777899,3.9,3.3
777891,2.8,2.4
777888,4.5,3.3
777881,3.3,2.0
777886,3.0,2.8
777890,3.0,2.9
777889,3.8,2.6
777894,3.5,3.4
777892,3.3,3.6
777882,3.1,3.8
777885,2.0,3.6
777893,2.3,2.8
777883,2.9,3.3
777887,3.5,2.8
777875,3.5,2.9
777879,3.2,2.4
777884,4.3,3.2
777869,3.4,3.9
777873,3.0,2.9
777880,3.7,3.2
777876,2.6,3.2
777871,3.4,2.8
777874,3.1,3.2
777877,3.5,2.6
777864,1.7,3.2
777865,2.9,3.2
777872,4.1,1.8
777867,3.7,2.2
777870,3.4,2.9
777866,4.3,3.4
777868,3.2,2.5
777878,4.5,3.4
777859,3.0,3.0
777863,3.3,3.6
777856,2.6,3.3
777858,2.5,3.6
777861,2.9,3.2
777861,2.9,2.9
777861,3.2,3.2
777861,3.2,2.9
777857,1.9,2.6
777860,2.9,3.0
777862,3.0,2.9
777852,3.2,3.5
777855,3.5,1.9
777853,2.3,3.4
777854,4.1,3.3
777861,2.9,3.2
777861,2.9,2.9
777861,3.2,3.2
777861,3.2,2.9
777847,3.0,2.9
777850,3.2,3.7
777851,2.6,3.3
777841,2.2,3.6
777848,2.4,3.6
777849,4.8,3.0
777845,3.6,3.2
777846,2.0,2.6
777844,3.1,3.0
777840,2.4,2.9
777842,2.8,3.1
777836,3.3,2.0
777843,2.7,3.3
777838,4.0,3.4
777834,3.4,2.4
777832,2.3,3.0
777833,3.0,3.4
