game_pk,home_pitching_qs_rate_rolling_10,away_pitching_qs_rate_rolling_10
777814,0.6,0.5
777816,0.7,0.3
777817,0.3,0.6
777818,0.8,0.6
777820,0.2,0.7
777821,0.4,0.5
777822,0.7,0.7
777797,0.7,0.5
777798,0.4,0.5
777799,0.5,0.6
777800,0.8,0.7
777801,0.2,0.6
777802,0.3,0.9
777804,0.3,0.6
777805,0.4,0.6
777806,0.5,0.4
777807,0.4,0.6
777808,0.8,0.5
777810,0.4,0.6
777811,0.6,0.7
777813,0.6,0.2
777815,0.3,0.2
777781,0.3,0.5
777782,0.3,0.9
777784,0.2,0.6
777786,0.7,0.5
777787,0.7,0.8
777788,0.5,0.6
777789,0.7,0.4
777790,0.2,0.1
777791,0.6,0.7
777792,0.4,0.6
777793,0.2,0.7
777794,0.5,0.4
777795,0.5,0.6
777796,0.4,0.6
777803,0.6,0.3
777809,0.3,0.2
777765,0.2,0.5
777766,0.6,0.4
777767,0.3,0.6
777768,0.3,1.0
777772,0.5,0.6
777773,0.7,0.4
777774,0.7,0.8
777775,0.6,0.7
777776,0.5,0.4
777777,0.4,0.5
777778,0.3,0.7
777779,0.6,0.6
777780,0.4,0.5
777783,0.6,0.3
777785,0.3,0.2
777756,0.4,0.6
777757,0.6,0.3
777758,0.7,0.3
777759,0.4,0.6
777760,0.6,0.6
777761,0.4,0.4
777762,0.6,0.5
777763,0.3,0.9
777764,0.4,0.3
777769,0.4,0.4
777770,0.5,0.8
777771,0.3,0.6
777741,0.4,0.7
777742,0.4,0.6
777743,0.7,0.4
777744,0.5,0.4
777745,0.2,0.9
777746,0.6,0.5
777747,0.4,0.4
777748,0.5,0.6
777749,0.8,0.4
777750,0.6,0.5
777751,0.6,0.4
777752,0.7,0.2
777753,0.4,0.4
777754,0.4,0.7
777755,0.6,0.9
777724,0.5,0.8
777726,0.4,0.5
777728,0.3,0.9
777729,0.4,0.4
777730,0.7,0.4
777731,0.6,0.5
777732,0.7,0.5
777733,0.6,0.6
777734,0.7,0.2
777736,0.5,0.4
777737,0.8,0.4
777738,0.6,0.9
777739,0.4,0.4
777740,0.4,0.7
777722,0.6,0.5
777723,0.6,0.6
777725,0.8,0.7
777727,0.8,0.1
777735,0.5,0.6
777707,0.4,0.4
777708,0.4,0.9
777709,0.5,0.6
777710,0.4,0.5
777711,0.6,0.6
777712,0.6,0.6
777713,0.5,0.4
777714,0.7,0.8
777715,0.4,0.4
777716,0.8,0.0
777717,0.5,0.9
777718,0.7,0.5
777719,0.5,0.5
777720,0.4,0.4
777721,0.4,0.4
777691,0.5,0.5
777693,0.7,0.9
777694,0.5,0.6
777695,0.4,0.3
777696,0.3,0.5
777697,0.6,0.5
777698,0.4,0.8
777699,0.5,0.5
777700,0.7,0.5
777701,0.7,0.0
777702,0.3,0.5
777703,0.3,0.4
777704,0.5,0.6
777705,0.5,0.9
777706,0.5,0.5
777677,0.5,0.7
777678,0.7,0.5
777679,0.3,0.5
777680,0.4,0.3
777681,0.4,0.5
777682,0.5,0.7
777683,0.3,0.4
777684,0.6,0.5
777685,0.6,0.0
777686,0.7,0.5
777687,0.6,0.6
777688,0.3,0.4
777689,0.6,0.9
777690,0.6,0.9
777692,0.6,0.4
777669,0.0,0.4
777670,0.5,0.4
777671,0.5,0.5
777673,0.6,0.5
777674,0.5,0.7
777675,0.4,0.7
777676,0.9,0.4
777655,0.5,0.6
777656,1.0,0.5
777657,0.4,0.7
777658,0.0,0.4
777659,0.5,0.6
777660,0.5,0.5
777661,0.5,0.8
777662,1.0,0.8
777663,0.4,0.7
777664,0.7,0.3
777665,0.6,0.4
777666,0.5,0.5
777667,0.5,0.4
777668,0.5,0.6
777672,0.7,0.3
777638,0.5,0.7
777639,0.5,0.7
777641,1.0,0.5
777643,0.0,0.4
777645,0.5,0.7
777646,1.0,0.7
777647,0.6,0.6
777648,0.5,0.7
777649,0.5,0.5
777650,0.5,0.6
777651,0.5,0.4
777652,0.6,0.5
777653,0.7,0.3
777654,0.7,0.3
777628,0.5,0.7
777629,1.0,0.6
777630,0.6,0.8
777631,0.5,0.7
777632,0.6,0.7
777633,0.9,0.5
777634,0.4,0.7
777635,0.5,0.5
777636,0.0,0.5
777637,0.5,0.4
777640,0.7,0.4
777642,0.4,0.4
777644,0.6,0.3
777613,0.1,0.8
777614,0.5,0.4
777615,0.4,0.6
777616,0.6,0.6
777617,0.6,0.5
777618,0.5,0.4
777619,0.9,0.6
777620,0.4,0.4
777621,0.5,0.4
777622,0.3,0.8
777623,0.6,0.4
777624,0.5,0.6
777625,1.0,0.6
