game_pk,home_fielding_e_per_g_rolling_10,away_fielding_e_per_g_rolling_10
777563,0.8,0.3
777564,0.6,1.0
777565,1.4,0.6
777566,0.3,0.7
777567,0.4,0.1
777568,0.1,0.4
777569,0.9,0.5
777570,0.4,0.7
777571,0.4,0.3
777572,0.6,0.4
777573,0.5,0.2
777542,0.6,1.0
777543,0.5,0.6
777545,0.3,0.3
777547,0.8,0.4
777548,0.1,0.3
777549,0.8,0.6
777550,0.3,0.1
777551,0.7,0.5
777552,0.4,0.7
777553,0.4,0.3
777554,0.1,0.4
777555,0.4,0.6
777556,0.5,0.3
777561,1.4,0.7
777562,0.5,0.3
777532,0.2,0.4
777533,0.5,0.3
777534,0.8,0.5
777536,0.5,0.5
777540,0.5,0.4
777541,0.3,0.4
777544,0.4,0.5
777546,0.3,0.1
777520,0.2,0.8
777521,0.1,0.6
777522,0.6,0.6
777524,0.3,0.1
777525,0.2,0.3
777526,0.3,0.4
777527,0.4,0.5
777528,0.4,0.7
777529,0.6,0.8
777530,0.6,0.7
777531,0.4,0.4
777535,0.4,0.6
777537,1.3,0.5
777538,0.4,0.6
777539,0.5,0.5
777506,0.6,0.5
777507,0.3,0.7
777508,0.2,0.1
777509,0.2,0.4
777510,0.4,0.6
777511,0.6,0.8
777512,0.1,0.3
777513,0.2,0.3
777514,0.5,0.7
777515,0.2,0.6
777516,1.4,0.5
777517,0.5,0.5
777518,0.3,0.9
777519,0.3,0.5
777523,0.4,1.0
777491,0.2,0.5
777492,0.2,0.3
777493,0.1,0.2
777494,0.3,0.6
777495,0.3,0.6
777496,0.5,0.7
777497,0.2,0.3
777498,0.6,0.5
777499,0.2,0.4
777500,1.3,0.6
777501,0.3,0.5
777502,0.4,0.9
777503,0.6,0.8
777504,0.5,1.1
777505,0.4,0.6
777483,0.7,0.3
777484,0.7,0.3
777485,0.7,0.3
777486,0.3,1.0
777487,0.7,0.7
777488,0.6,1.1
777490,0.5,0.5
777467,0.2,0.3
777468,0.1,0.5
777469,0.6,0.4
777471,0.5,0.7
777472,0.4,0.5
777473,0.3,0.9
777475,0.6,0.3
777476,0.5,0.5
777477,0.7,0.4
777478,0.5,0.6
777479,0.4,0.2
777480,0.5,1.0
777481,0.7,0.3
777482,0.1,0.2
777489,0.6,0.4
777453,0.3,0.7
777454,0.5,0.4
777456,0.6,0.5
777457,0.5,0.7
777460,0.1,0.5
777461,0.4,1.1
777462,0.5,0.2
777463,0.7,0.3
777465,0.6,0.4
777466,0.6,0.5
777470,0.5,0.4
777474,0.5,0.6
777440,0.5,0.4
777441,0.6,0.7
777442,0.5,0.5
777443,0.0,0.3
777444,0.6,0.5
777445,0.3,0.9
777446,0.8,0.4
777447,0.4,0.3
777448,0.5,0.3
777449,0.7,0.6
777450,0.1,0.2
777451,0.7,0.3
777452,0.5,0.5
777455,0.3,0.5
777458,0.6,0.4
777464,0.7,0.3
777425,0.5,0.6
777426,0.6,0.4
777427,0.5,0.3
777428,0.5,0.8
777429,0.6,0.5
777430,0.9,0.4
777431,0.8,0.7
777432,0.2,0.0
777433,0.4,0.5
777434,0.5,0.2
777435,0.5,0.6
777436,0.1,0.1
777437,0.6,0.4
777438,0.6,0.3
777439,0.6,0.3
777410,0.9,0.4
777411,0.4,0.7
777412,0.4,0.3
777413,0.4,0.4
777414,0.5,0.8
777415,0.4,0.6
777416,0.4,0.4
777417,0.6,0.7
777418,0.4,0.6
777419,0.1,0.1
777420,0.7,0.9
777421,0.2,0.0
777422,0.5,0.3
777423,0.5,0.4
777424,0.4,0.3
777395,0.6,0.6
777396,0.4,0.3
777397,0.5,0.9
777398,0.3,0.4
777399,1.0,0.6
777400,0.6,0.5
777401,0.4,0.3
777402,0.4,0.3
777403,0.1,0.1
777404,0.2,0.0
777405,0.5,0.5
777406,0.4,0.5
777407,0.5,0.5
777408,0.4,0.7
777409,0.5,0.8
777381,0.5,0.7
777382,0.3,0.4
777388,0.4,0.1
777389,0.5,0.3
777390,0.4,0.4
777391,0.3,0.2
777392,0.4,0.3
777393,0.8,0.7
777394,0.7,0.0
777364,0.7,0.3
777372,0.4,0.5
777373,0.4,0.3
777374,0.2,0.2
777375,0.4,0.2
777376,0.4,0.8
777377,0.8,0.4
777378,0.3,0.5
777379,1.0,0.3
777380,0.7,0.0
777383,0.9,0.7
777384,0.6,0.5
777385,0.5,0.5
777386,0.9,0.6
777387,0.6,0.3
777355,0.7,0.4
777357,0.4,0.3
777358,0.8,0.3
777359,0.4,0.2
777360,0.4,0.4
777361,0.2,0.3
777362,0.5,0.7
777363,0.4,0.1
