game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
777970,0.4,0.8
777968,2.0,1.2
777962,0.6,0.6
777967,0.6,0.4
777969,0.8,1.4
777964,0.8,1.0
777963,0.6,1.0
777965,0.4,1.2
777956,1.2,0.8
777966,0.4,0.8
777955,0.6,1.4
777957,1.0,2.4
777961,1.6,0.6
777954,2.0,1.2
777958,0.6,1.0
777971,1.8,1.2
777960,1.2,1.2
777951,0.6,1.6
777953,1.0,0.6
777950,2.2,0.4
777959,0.4,0.6
777952,1.0,0.6
777949,2.0,1.0
777948,0.8,0.2
777947,1.4,1.2
777941,0.8,2.4
777939,0.8,1.8
777944,0.6,1.0
777940,1.0,1.4
777945,1.0,0.6
777935,1.0,0.6
777943,2.2,0.6
777942,0.4,0.6
777936,1.2,0.6
777934,1.8,1.0
777931,0.6,0.2
777932,1.6,1.2
777926,1.2,2.8
777930,0.6,2.0
777937,1.2,1.0
777924,0.8,1.0
777938,0.8,1.0
777938,0.8,1.4
777938,1.2,1.0
777938,1.2,1.4
777922,0.8,1.0
777933,0.6,1.0
777933,0.6,1.6
777933,1.2,1.0
777933,1.2,1.6
