game_pk,home_batting_r_per_g_rolling_5,away_batting_r_per_g_rolling_5,home_batting_r_per_g_rolling_10,away_batting_r_per_g_rolling_10
778127,1.8,6.2,2.0,5.6
778130,7.2,5.0,6.1,5.2
778125,4.6,4.2,4.1,5.4
778122,2.0,3.6,2.4,3.5
778124,3.6,5.6,4.1,4.6
778120,3.4,6.0,3.1,5.7
778121,7.4,1.8,6.8,2.4
778126,1.0,3.2,2.2,3.1
778123,6.0,4.4,5.5,5.1
778134,6.0,2.4,7.3,3.6
778134,6.0,4.6,7.3,4.7
778134,3.6,2.4,6.1,3.6
778134,3.6,4.6,6.1,4.7
778119,5.0,3.4,6.5,3.8
778110,4.2,5.6,4.1,4.7
778102,3.4,6.8,3.1,5.9
778109,7.8,4.4,6.2,5.1
778104,6.8,2.4,6.2,2.4
778105,2.0,3.2,2.5,3.5
778116,2.8,6.6,3.4,4.8
778115,2.2,7.8,2.1,5.6
778112,2.4,5.0,3.5,5.9
778118,4.6,4.8,5.1,4.0
778113,3.4,3.2,3.5,3.8
778114,2.0,7.6,1.9,6.2
778117,8.0,4.4,6.4,4.9
778111,4.4,5.2,4.0,5.6
778106,4.4,3.2,3.9,3.4
778134,6.0,2.4,7.3,3.6
778134,6.0,4.6,7.3,4.7
778134,3.6,2.4,6.1,3.6
778134,3.6,4.6,6.1,4.7
778100,2.6,4.2,3.2,6.0
778107,2.4,4.6,3.7,4.9
778103,7.8,4.4,6.4,4.2
778097,2.0,2.6,3.5,4.0
778108,3.0,4.8,3.3,4.7
778094,4.6,5.4,4.1,6.1
778096,4.2,3.4,3.6,3.8
778099,5.4,4.2,5.1,3.9
778095,2.6,8.0,2.2,6.4
778101,2.2,5.8,2.5,5.1
778098,2.6,2.4,3.5,3.0
778087,2.6,5.0,4.3,4.2
778090,2.6,3.0,3.5,2.6
778086,5.8,4.8,4.2,4.4
778093,2.8,3.8,2.4,4.4
778088,7.6,2.2,5.6,2.7
778081,3.2,2.8,2.3,3.1
778089,7.0,4.4,6.2,4.8
778091,4.2,3.4,4.8,4.0
778092,5.4,10.2,5.6,7.1
778079,5.2,5.0,4.1,4.2
778083,3.8,7.8,3.6,7.0
778080,5.0,5.0,4.7,5.5
778084,4.6,7.8,4.4,5.9
778085,2.2,6.6,2.7,5.5
778082,3.2,2.4,3.4,3.1
778074,6.0,1.4,5.5,2.7
778066,4.6,5.6,4.6,4.3
778064,3.8,2.8,2.8,3.1
778065,2.6,4.8,3.5,3.3
778069,3.4,2.2,3.3,2.9
778073,7.4,3.6,6.0,4.5
778075,4.4,4.0,4.2,4.1
778078,4.4,3.8,4.0,4.3
778077,3.2,3.6,4.6,3.6
778070,3.6,9.6,2.9,7.5
778071,4.0,6.2,4.5,5.9
778072,3.0,3.4,2.7,4.0
778076,4.0,9.0,5.1,7.0
778067,2.2,7.0,2.3,6.4
778068,5.0,8.2,3.7,6.3
778068,5.0,4.6,3.7,6.3
778068,4.2,8.2,4.4,6.3
778068,4.2,4.6,4.4,6.3
778053,4.8,5.2,4.1,6.2
778068,5.0,8.2,3.7,6.3
778068,5.0,4.6,3.7,6.3
778068,4.2,8.2,4.4,6.3
778068,4.2,4.6,4.4,6.3
778062,3.0,3.6,2.4,3.8
778051,2.4,5.0,2.7,3.2
778063,5.4,2.2,5.8,4.3
778057,5.4,1.2,5.5,2.9
778056,4.2,3.6,3.0,3.5
778061,5.0,4.8,4.5,4.2
778059,5.2,3.0,4.3,4.0
778055,4.8,5.8,4.7,4.4
778054,3.0,7.2,3.6,6.3
778052,3.6,7.2,2.8,6.9
778048,4.0,2.2,3.6,2.8
778050,3.2,6.4,2.5,6.0
778058,4.4,4.8,4.7,4.3
778060,3.8,9.2,4.7,7.9
778047,4.2,8.4,4.3,7.2
778045,5.8,5.4,5.5,3.2
778049,3.4,4.4,4.7,4.0
778044,5.4,5.0,5.2,4.1
778043,5.2,5.4,4.2,4.9
778042,2.4,5.0,3.8,4.3
778036,4.0,2.4,4.3,2.4
778039,4.6,4.8,4.5,6.3
778038,5.0,6.0,4.1,6.7
778026,4.4,4.2,4.6,3.5
778046,6.0,5.2,5.1,4.1
778046,6.0,6.2,5.1,4.5
778046,5.4,5.2,5.2,4.1
778046,5.4,6.2,5.2,4.5
778035,4.6,6.8,4.5,7.3
778037,4.2,2.2,5.9,3.3
778040,2.4,5.6,2.9,5.1
778041,3.4,4.8,5.6,3.4
778034,2.6,4.4,4.7,3.4
778027,6.6,4.8,5.4,3.7
778028,3.0,3.4,4.8,2.8
778033,5.2,4.6,3.9,4.6
778031,2.2,4.0,3.8,4.1
778030,5.0,2.2,4.8,2.4
778025,2.8,4.6,2.6,3.3
778032,4.6,5.4,4.5,6.6
778024,5.0,6.2,4.2,6.5
778046,6.0,5.2,5.1,4.1
778046,6.0,6.2,5.1,4.5
778046,5.4,5.2,5.2,4.1
778046,5.4,6.2,5.2,4.5
778022,5.4,7.4,4.5,5.1
778015,3.0,3.8,4.0,4.4
778016,4.8,1.8,4.9,2.2
778020,6.0,7.0,5.5,5.1
778010,5.0,5.4,4.2,6.6
778014,4.8,3.8,4.8,6.0
778017,4.2,5.2,4.2,7.7
778018,3.2,3.2,5.6,3.7
778021,3.2,5.8,2.6,5.6
778019,5.0,4.4,6.3,3.7
778023,2.8,2.8,4.1,2.7
778011,4.4,3.0,4.6,2.6
778012,4.4,3.6,4.1,4.4
778013,2.4,8.2,2.9,6.9
778009,3.8,3.8,3.0,3.2
778029,3.2,8.4,2.8,7.1
778029,3.2,8.8,2.8,7.9
778029,3.0,8.4,2.6,7.1
778029,3.0,8.8,2.6,7.9
778007,4.8,2.4,4.6,2.6
778006,4.0,4.0,5.5,3.9
778008,4.8,2.4,4.1,3.5
778004,2.6,8.6,2.5,7.6
778029,3.2,8.4,2.8,7.1
778029,3.2,8.8,2.8,7.9
778029,3.0,8.4,2.6,7.1
778029,3.0,8.8,2.6,7.9
778005,2.8,6.8,2.5,6.3
778003,3.2,2.4,3.6,2.8
778000,4.0,3.8,3.1,3.5
777999,4.6,6.8,4.2,7.9
777996,10.6,3.8,8.5,3.7
777998,1.0,3.6,1.8,3.7
777995,4.4,4.8,4.6,4.8
778002,4.0,3.2,2.7,3.6
778001,4.4,4.2,4.8,5.2
777997,8.0,7.6,5.8,6.0
777990,6.0,3.8,4.8,5.6
777991,1.8,4.2,3.3,4.3
777989,5.0,2.0,5.3,3.2
777992,5.6,6.8,4.6,5.1
777993,2.6,3.2,2.4,4.0
777986,4.8,2.2,3.5,2.6
777988,5.2,5.4,4.1,7.3
777984,4.0,4.4,6.8,4.1
777994,4.8,5.2,4.4,5.6
777980,3.6,5.6,4.0,4.9
777985,1.4,3.2,1.9,3.3
777972,4.0,6.8,4.4,6.1
777981,4.2,3.4,2.7,3.2
777987,8.4,3.8,8.3,3.7
777983,8.2,6.2,6.2,5.7
777979,4.0,1.8,4.9,3.1
777977,4.2,3.4,4.7,4.4
777978,2.0,2.8,3.7,3.9
777982,4.8,3.4,4.7,5.3
777974,5.4,5.8,3.8,4.9
777975,5.2,7.6,4.9,8.0
777976,3.8,5.4,3.1,5.2
777973,4.0,3.0,3.6,3.0
777970,4.2,5.0,5.7,4.6
777968,5.0,4.6,4.9,5.0
777962,2.0,5.4,4.0,4.7
777967,1.8,3.0,2.1,2.8
777969,7.4,4.2,7.9,3.2
777964,3.4,3.0,2.9,2.7
777963,5.0,4.4,5.0,4.4
777965,3.8,4.6,4.5,4.4
777956,4.8,4.2,3.9,4.6
777966,2.2,3.0,3.4,3.6
777955,2.6,8.8,2.9,7.1
