game_pk,date,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10
778179,2025-04-26,2.375,2.4444444444444446,2.375,2.0
778179,2025-04-26,2.375,2.4444444444444446,2.090909090909091,1.6363636363636365
778179,2025-04-26,2.375,2.4444444444444446,2.090909090909091,2.0
778179,2025-04-26,1.8181818181818181,1.6363636363636365,2.375,1.6363636363636365
778179,2025-04-26,1.8181818181818181,1.6363636363636365,2.375,2.0
778179,2025-04-26,1.8181818181818181,1.6363636363636365,2.090909090909091,1.6363636363636365
778179,2025-04-26,1.8181818181818181,1.6363636363636365,2.090909090909091,2.0
778179,2025-04-26,1.8181818181818181,2.4444444444444446,2.375,1.6363636363636365
778179,2025-04-26,1.8181818181818181,2.4444444444444446,2.375,2.0
778179,2025-04-26,1.8181818181818181,2.4444444444444446,2.090909090909091,1.6363636363636365
778179,2025-04-26,1.8181818181818181,2.4444444444444446,2.090909090909091,2.0
778180,2025-04-26,2.2,0.0,2.2,0.0
778180,2025-04-26,2.2,0.0,2.2,1.0
778180,2025-04-26,2.2,0.0,1.8571428571428572,0.0
778180,2025-04-26,2.2,0.0,1.8571428571428572,1.0
778180,2025-04-26,2.2,1.0,2.2,0.0
778180,2025-04-26,2.2,1.0,2.2,1.0
778180,2025-04-26,2.2,1.0,1.8571428571428572,0.0
778180,2025-04-26,2.2,1.0,1.8571428571428572,1.0
778180,2025-04-26,1.8571428571428572,0.0,2.2,0.0
778180,2025-04-26,1.8571428571428572,0.0,2.2,1.0
778180,2025-04-26,1.8571428571428572,0.0,1.8571428571428572,0.0
778180,2025-04-26,1.8571428571428572,0.0,1.8571428571428572,1.0
778180,2025-04-26,1.8571428571428572,1.0,2.2,0.0
778180,2025-04-26,1.8571428571428572,1.0,2.2,1.0
778180,2025-04-26,1.8571428571428572,1.0,1.8571428571428572,0.0
778180,2025-04-26,1.8571428571428572,1.0,1.8571428571428572,1.0
778136,2025-04-27,0.0,5.857142857142857,0.0,5.857142857142857
778144,2025-04-27,9.333333333333334,1.5714285714285714,9.333333333333334,1.5714285714285714
778145,2025-04-27,2.3,2.857142857142857,2.3,2.857142857142857
778146,2025-04-27,0.5294117647058824,3.0,0.5294117647058824,3.0
778147,2025-04-27,4.6,5.4,4.6,5.4
778148,2025-04-27,0.0,4.5,0.0,4.5
778149,2025-04-27,1.6,0.0,1.6,0.0
778150,2025-04-27,0.9285714285714286,1.8,0.9285714285714286,1.8
778151,2025-04-27,1.8461538461538463,10.0,1.8461538461538463,10.0
778152,2025-04-27,3.6666666666666665,5.166666666666667,3.6666666666666665,5.166666666666667
778153,2025-04-27,1.8181818181818181,2.727272727272727,1.8181818181818181,2.727272727272727
778155,2025-04-27,5.8,4.25,5.8,4.25
778156,2025-04-27,4.285714285714286,4.333333333333333,4.285714285714286,4.333333333333333
778157,2025-04-27,1.6,1.0,1.6,1.0
778158,2025-04-27,3.4285714285714284,2.8181818181818183,3.4285714285714284,2.8181818181818183
778170,2025-04-27,1.8,5.666666666666667,1.8,5.666666666666667
778170,2025-04-27,1.8,5.666666666666667,1.8,5.571428571428571
778170,2025-04-27,1.8,5.666666666666667,1.6666666666666667,5.666666666666667
778170,2025-04-27,1.8,5.666666666666667,1.6666666666666667,5.571428571428571
778170,2025-04-27,1.8,6.4,1.8,5.666666666666667
778170,2025-04-27,1.8,6.4,1.8,5.571428571428571
778170,2025-04-27,1.8,6.4,1.6666666666666667,5.666666666666667
778170,2025-04-27,1.8,6.4,1.6666666666666667,5.571428571428571
778170,2025-04-27,1.6666666666666667,5.666666666666667,1.8,5.666666666666667
778170,2025-04-27,1.6666666666666667,5.666666666666667,1.8,5.571428571428571
778170,2025-04-27,1.6666666666666667,5.666666666666667,1.6666666666666667,5.666666666666667
