game_pk,date,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10
778086,2025-05-02,0.2493074792243767,1.4285714285714286
778087,2025-05-02,1.4917127071823204,0.2425876010781671
778088,2025-05-02,0.5027932960893855,2.1176470588235294
778089,2025-05-02,1.6363636363636365,1.3235294117647058
778090,2025-05-02,0.5405405405405406,0.9473684210526315
778091,2025-05-02,0.0,0.0
778092,2025-05-02,1.7578125,0.5294117647058824
778093,2025-05-02,2.1875,0.29411764705882354
778064,2025-05-03,1.0810810810810811,1.6483516483516483
778065,2025-05-03,1.495016611295681,0.34090909090909094
778066,2025-05-03,1.3284132841328413,0.24324324324324326
778067,2025-05-03,1.565217391304348,1.4657980456026058
778069,2025-05-03,0.5607476635514018,0.0
778070,2025-05-03,1.4754098360655736,0.8411214953271028
778071,2025-05-03,0.3879310344827586,1.355421686746988
778072,2025-05-03,1.6718266253869971,0.509915014164306
778073,2025-05-03,0.8181818181818182,1.4285714285714286
778074,2025-05-03,0.0,2.1176470588235294
778075,2025-05-03,1.0810810810810811,1.7763157894736843
778076,2025-05-03,0.9677419354838709,1.1065573770491803
778077,2025-05-03,1.0404624277456647,1.2286689419795223
778078,2025-05-03,1.5743440233236152,1.2784090909090908
778048,2025-05-04,0.218978102189781,0.7346938775510204
778050,2025-05-04,1.7197452229299364,0.28481012658227844
778051,2025-05-04,0.764872521246459,0.0
778052,2025-05-04,1.3931888544891642,1.8
778053,2025-05-04,0.8385093167701863,0.0
778054,2025-05-04,1.1508951406649617,1.6449086161879898
778055,2025-05-04,0.0,0.0
778056,2025-05-04,3.3559322033898304,2.5632911392405062
778057,2025-05-04,1.1587982832618025,1.0256410256410255
778058,2025-05-04,1.1688311688311688,1.0975609756097562
778059,2025-05-04,0.0,1.7142857142857142
778060,2025-05-04,2.0,0.33210332103321033
778061,2025-05-04,1.978021978021978,1.1076923076923078
778062,2025-05-04,14.0625,1.1076923076923078
778063,2025-05-04,0.41570438799076215,1.9926199261992619
778068,2025-05-04,1.6770186335403725,0.29702970297029707
778036,2025-05-05,0.0,0.7114624505928854
778038,2025-05-05,0.8333333333333333,0.3050847457627119
778039,2025-05-05,0.0,0.594059405940594
778042,2025-05-05,1.5,1.6423357664233578
778043,2025-05-05,1.1920529801324504,0.28662420382165604
778044,2025-05-05,0.8157099697885196,1.2286689419795223
778045,2025-05-05,1.3075060532687652,0.5128205128205128
778047,2025-05-05,1.4634146341463414,0.0
778049,2025-05-05,1.4754098360655736,1.0876132930513596
778024,2025-05-06,1.3196480938416422,1.5697674418604652
778025,2025-05-06,1.6265060240963853,0.0
778026,2025-05-06,1.7061611374407581,1.1764705882352942
778027,2025-05-06,0.48913043478260876,1.2640449438202246
778028,2025-05-06,0.6593406593406593,1.9424460431654675
778030,2025-05-06,0.5405405405405406,0.8530805687203791
778031,2025-05-06,0.6271777003484321,1.9285714285714286
778032,2025-05-06,1.4438502673796791,0.5732484076433121
778033,2025-05-06,1.4788732394366197,1.9852941176470589
778034,2025-05-06,1.308139534883721,1.4210526315789473
778035,2025-05-06,1.7647058823529411,1.5
778037,2025-05-06,3.0,0.6398104265402843
778040,2025-05-06,0.5960264900662252,1.4549653579676676
778041,2025-05-06,1.9014084507042255,0.7336956521739131
778046,2025-05-06,0.4477611940298507,1.271186440677966
778009,2025-05-07,1.4958448753462603,1.3670886075949367
778010,2025-05-07,1.5,0.7086614173228346
778011,2025-05-07,1.5319148936170213,2.227722772277228
778012,2025-05-07,0.49046321525885556,1.2244897959183674
778013,2025-05-07,3.0508474576271185,1.125
778014,2025-05-07,1.2328767123287672,0.2795031055900621
778015,2025-05-07,0.47368421052631576,0.8780487804878049
778016,2025-05-07,1.381074168797954,0.7049608355091385
778017,2025-05-07,0.782608695652174,1.4516129032258067
778018,2025-05-07,1.7746478873239437,0.0
778019,2025-05-07,0.42056074766355145,0.8307692307692308
778020,2025-05-07,0.9574468085106383,1.1811023622047243
778021,2025-05-07,1.0495626822157436,1.1842105263157896
778022,2025-05-07,1.8,0.9310344827586207
778023,2025-05-07,1.7088607594936709,1.4928909952606635
777999,2025-05-08,1.598984771573604,0.45
778000,2025-05-08,0.699481865284974,0.9523809523809524
778003,2025-05-08,1.113861386138614,1.1335012594458438
778004,2025-05-08,0.7627118644067797,1.5211267605633803
778005,2025-05-08,1.889763779527559,0.21844660194174756
778006,2025-05-08,1.5697674418604652,1.0465116279069768
778007,2025-05-08,1.2,1.7597765363128492
778008,2025-05-08,0.44665012406947896,1.4018691588785046
778029,2025-05-08,0.0,2.7272727272727275
777984,2025-05-09,0.7086614173228346,0.9160305343511451
777986,2025-05-09,1.490066225165563,1.6449086161879898
777988,2025-05-09,1.721311475409836,1.2244897959183674
777989,2025-05-09,0.20930232558139536,0.9782608695652175
777990,2025-05-09,1.9618528610354222,1.1111111111111112
777991,2025-05-09,1.40625,1.6449086161879898
777992,2025-05-09,1.6822429906542056,0.4851752021563342
777993,2025-05-09,2.155688622754491,0.28662420382165604
777994,2025-05-09,1.7796610169491527,1.309090909090909
777995,2025-05-09,0.218978102189781,0.7258064516129031
777996,2025-05-09,0.8955223880597014,1.5319148936170213
777997,2025-05-09,1.7252396166134185,1.3399503722084367
777998,2025-05-09,1.4555256064690025,1.6875
778001,2025-05-09,0.0,1.3775510204081631
778002,2025-05-09,2.1951219512195124,1.2765957446808511
777970,2025-05-10,0.9,2.946428571428571
777972,2025-05-10,0.9326424870466321,1.1368421052631579
777973,2025-05-10,1.7307692307692308,7.5
777974,2025-05-10,1.35,0.1871101871101871
777975,2025-05-10,1.3975155279503104,0.8359133126934986
777976,2025-05-10,0.989010989010989,0.0
777977,2025-05-10,1.0227272727272727,0.5590062111801243
777978,2025-05-10,0.24725274725274726,1.5384615384615385
777979,2025-05-10,0.0,1.1508951406649617
777980,2025-05-10,1.308139534883721,1.529745042492918
777981,2025-05-10,1.1194029850746268,0.8108108108108109
777982,2025-05-10,0.509915014164306,0.0
777983,2025-05-10,2.2131147540983607,0.0
777985,2025-05-10,0.935064935064935,1.026615969581749
777987,2025-05-10,1.2534818941504178,1.2064343163538875
777954,2025-05-11,1.2162162162162162,1.6363636363636365
777955,2025-05-11,1.2587412587412588,0.6733167082294265
777956,2025-05-11,0.5572755417956656,1.3119533527696794
777957,2025-05-11,0.7317073170731707,0.0
777958,2025-05-11,0.5373134328358209,2.1951219512195124
777961,2025-05-11,1.598984771573604,1.0
777962,2025-05-11,1.173913043478261,0.2760736196319018
777963,2025-05-11,1.6167664670658684,8.571428571428571
777964,2025-05-11,1.0495626822157436,0.7736389684813754
777965,2025-05-11,1.2909836065573772,1.956521739130435
777966,2025-05-11,1.891891891891892,1.8243243243243243
777967,2025-05-11,1.2203389830508475,1.108374384236453
777968,2025-05-11,0.764872521246459,0.9207161125319693
777969,2025-05-11,0.24456521739130438,0.5601659751037344
777971,2025-05-11,1.2605042016806722,1.4314115308151094
777939,2025-05-12,1.3300492610837438,1.2676056338028168
777941,2025-05-12,1.1637931034482758,1.3366336633663367
