game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
318725,1.0,1.4
318726,2.4,0.4
318727,0.6,1.6
318728,1.2,0.6
318729,1.0,0.8
318730,0.8,0.2
318731,1.2,1.4
318732,0.8,0.8
318733,0.8,0.4
318734,0.8,1.2
318735,0.4,0.8
318736,1.8,0.8
318737,1.2,0.6
318738,1.2,0.4
318739,1.2,1.2
318740,1.6,1.6
318741,1.4,1.4
318742,0.6,0.4
318743,1.4,0.8
318744,1.6,0.2
318745,1.6,1.0
318746,1.0,0.4
318747,1.0,0.6
318748,0.6,1.2
318749,1.6,0.6
318750,0.2,0.8
318751,2.0,1.2
318752,1.0,0.4
318753,0.8,0.0
318754,1.0,1.2
318755,1.4,1.0
318756,1.4,0.8
318757,1.2,0.4
318758,1.0,0.8
318759,1.0,0.0
318760,2.0,0.8
318761,1.0,1.0
318762,0.8,0.4
318763,0.4,1.0
318764,1.4,0.8
318765,0.2,0.8
318766,1.8,2.2
318767,1.2,1.2
318768,1.8,0.6
318769,0.8,0.0
318770,1.8,0.8
318771,0.2,0.8
318772,0.8,1.0
318773,2.0,1.0
318774,2.0,1.2
318775,0.8,1.8
318776,0.6,1.0
318777,2.4,0.4
318778,1.4,0.0
318779,0.6,2.2
318780,0.6,0.4
318781,0.4,1.6
318782,0.2,1.4
318783,0.8,0.0
318784,0.8,0.8
318786,0.8,2.4
318787,0.2,0.8
318788,1.8,1.0
318789,2.2,1.2
318790,0.6,1.4
318791,0.8,1.0
318792,1.6,0.2
318793,1.4,0.2
318794,0.6,1.4
318795,0.8,0.6
318796,0.6,2.2
318797,0.0,1.4
318798,0.6,0.0
318799,0.8,0.4
318800,1.4,0.8
318801,1.4,2.4
318802,0.4,0.6
318785,1.8,0.6
318803,1.8,1.0
318804,2.6,1.4
318805,1.2,1.4
318806,1.0,1.4
318807,1.2,0.4
318808,1.2,0.2
318809,0.8,1.2
318810,1.0,0.6
318811,0.8,2.2
318812,0.0,1.6
318813,1.0,0.4
318814,0.4,0.2
318815,1.4,0.4
318816,1.4,2.6
318817,0.6,0.6
318818,0.8,0.4
318819,2.2,0.8
318820,1.0,0.6
318821,0.6,0.2
318822,0.8,1.0
318823,0.6,0.6
318824,1.6,1.2
318825,1.2,1.0
318826,1.0,0.0
318827,1.6,0.6
318828,1.2,0.4
318829,1.4,0.2
319845,1.8,2.0
318830,0.8,1.2
318831,1.2,2.6
318832,0.6,0.4
318833,2.8,0.6
318834,1.0,0.6
318835,0.6,0.2
318836,0.8,1.0
318837,0.8,0.6
318838,1.0,1.2
318839,1.2,1.2
318840,1.6,0.2
318841,1.2,0.8
318842,1.2,0.2
318843,1.4,1.4
318844,0.8,0.2
318845,1.2,1.8
318846,1.4,2.2
318847,0.6,0.4
318848,2.2,0.4
318849,1.4,0.6
318850,0.8,0.2
318851,1.2,0.2
318852,0.8,0.6
318853,0.6,1.2
318854,1.4,0.8
318855,2.0,0.4
318856,1.2,1.0
318857,1.6,0.4
318858,1.4,1.2
318859,0.8,1.0
318860,1.4,1.4
318861,0.8,1.4
318862,0.4,1.6
318863,1.8,0.8
318864,0.8,1.2
318865,1.0,0.4
318866,0.4,0.6
318867,0.0,1.2
318868,1.6,1.4
318869,1.2,1.4
318870,2.2,0.4
318871,0.8,1.6
318872,1.4,1.8
318873,0.6,1.4
318874,0.2,1.4
318875,1.6,1.0
318876,0.4,1.0
318877,1.0,0.8
318878,0.4,0.6
318879,0.6,1.8
318880,0.8,2.0
318881,0.0,1.2
318882,1.2,1.6
318883,1.0,1.6
318884,1.2,1.6
318885,0.6,0.8
318886,0.8,2.0
318039,0.8,2.2
318887,1.8,2.0
318888,0.6,1.4
318889,0.2,1.6
318890,1.4,1.8
318891,0.4,1.2
318892,1.2,1.0
318893,0.8,0.6
318894,1.0,1.4
318895,0.6,1.4
318896,0.0,1.4
318897,1.2,1.6
318898,1.0,1.6
318899,1.2,2.2
318900,1.0,1.0
318901,1.0,2.4
318902,1.6,1.8
318903,1.4,1.4
318904,0.2,1.2
318905,1.4,1.8
318906,0.4,1.2
318907,1.2,1.4
318908,1.2,0.8
318909,1.0,0.8
318910,1.2,1.4
318911,0.0,1.4
318912,1.4,1.6
318913,0.8,1.6
318914,0.8,2.2
318915,1.2,1.6
318916,0.8,2.4
318917,1.6,1.6
318918,0.2,0.8
318919,1.6,1.2
318920,0.8,0.8
318921,0.0,1.0
318922,1.0,0.8
318923,1.2,1.2
318924,2.2,0.4
318925,2.0,1.0
318926,0.6,2.0
318927,1.0,1.6
318928,1.4,1.4
318929,1.6,1.6
318930,0.4,1.0
318931,1.6,1.0
318932,0.4,1.0
318933,0.2,0.6
318934,1.4,1.2
318935,1.4,1.2
318936,2.0,0.4
318937,2.0,0.8
318938,0.6,1.6
318939,1.4,1.4
318940,1.4,1.2
318941,1.2,2.0
318942,1.8,0.2
318943,1.6,1.0
318944,1.2,1.4
318945,0.6,1.0
318946,1.2,1.2
318947,0.6,1.0
318948,0.2,0.6
318949,1.4,1.2
318950,1.6,1.8
318951,2.2,0.2
318952,1.8,0.6
318953,0.8,2.2
318954,1.6,1.4
318955,0.8,1.0
318956,1.2,2.0
318957,1.4,0.2
318958,2.0,0.4
318959,1.2,0.8
318960,0.4,1.0
318961,2.0,0.4
318962,1.2,0.8
318963,1.6,2.4
318964,1.4,0.4
318965,1.4,0.6
318966,1.0,0.2
318967,1.0,2.2
318968,0.8,1.2
318970,1.6,0.4
318971,1.4,1.2
318972,1.6,0.6
318973,1.0,1.2
318974,1.2,1.2
318975,1.0,1.0
318976,1.4,0.4
318977,1.6,0.8
318978,1.2,2.4
318979,1.2,0.6
318980,0.8,0.6
318981,0.4,0.8
318982,0.6,1.6
318983,0.6,1.4
318984,1.2,0.6
318985,1.2,0.2
318986,1.6,0.8
318987,1.0,1.4
317964,1.0,0.8
318988,0.8,1.2
318989,1.0,1.4
