date,n_games,auc,log_loss,brier,n_bets,pnl_units,roi_per_bet
2025-06-30,8,0.46666666666666673,0.7827089756678136,0.29377471144588724,0,0.0,0.0
2025-07-01,11,0.5357142857142857,0.7659819355958389,0.285846625190831,0,0.0,0.0
2025-07-02,12,0.6285714285714286,0.7496801672402023,0.2777185787729279,2,0.5900000000000001,0.29500000000000004
2025-07-03,9,0.5555555555555557,0.7968764411611545,0.30078175041778055,1,1.75,1.75
2025-07-04,14,0.6969696969696969,0.8488603589074682,0.3263456478999765,1,1.74,1.74
2025-07-05,15,0.5892857142857143,0.7046682382772121,0.2555296663170361,0,0.0,0.0
2025-07-06,14,0.6444444444444444,0.7735095422068348,0.28945513773982456,2,3.47,1.735
2025-07-07,10,0.4166666666666667,0.6870220613865321,0.24668871875821252,0,0.0,0.0
2025-07-08,15,0.36,0.7956453153236982,0.30000511580604833,4,3.96,0.99
2025-07-09,14,0.6666666666666667,0.7272392300689676,0.2667173842544008,2,0.30000000000000004,0.15000000000000002
2025-07-10,9,0.875,0.9173398436326975,0.35945458968769906,2,3.76,1.88
2025-07-11,14,0.3939393939393939,0.9151815315486568,0.3571777697627205,0,0.0,0.0
2025-07-12,14,0.4583333333333333,0.9168391959978309,0.3587251364403343,3,5.59,1.8633333333333333
2025-07-13,15,0.36,0.8829451862055889,0.3400444697671652,1,-1.0,-1.0
2025-07-18,15,0.4814814814814815,0.7722281024488089,0.2891386616120682,1,1.7,1.7
2025-07-19,15,0.6111111111111112,0.655163854285664,0.2318335966271585,4,0.8900000000000001,0.22250000000000003
2025-07-20,13,0.6,0.7462011884387272,0.27634878652717104,4,1.0099999999999998,0.25249999999999995
2025-07-21,15,0.7037037037037036,0.7270414360859184,0.2669098616784305,6,7.25,1.2083333333333333
2025-07-22,15,0.8,0.7237907140471136,0.265287171059669,5,5.39,1.0779999999999998
2025-07-23,11,0.39999999999999997,0.7170355629799693,0.26131223304407863,5,2.29009900990099,0.458019801980198
2025-07-24,5,0.0,0.7504608962769931,0.277749836543672,3,-3.0,-1.0
2025-07-25,14,0.6530612244897959,0.6901608793692736,0.2485114938343355,5,4.6499999999999995,0.9299999999999999
2025-07-26,14,0.5208333333333334,0.7409513825267217,0.27306671898323714,5,3.5,0.7
2025-07-27,15,0.7272727272727273,0.7620903081541578,0.2838321148773865,7,8.82,1.26
2025-07-28,15,0.48148148148148145,0.7780480572604683,0.28924677736878945,4,3.74,0.935
2025-07-29,15,0.42,0.7615698720050522,0.28338336338574727,6,4.54,0.7566666666666667
2025-07-30,14,0.6041666666666667,0.7262011998775879,0.26623835793568823,6,4.18,0.6966666666666667
2025-07-31,3,0.5,0.8559467533608375,0.3265978883269257,1,1.37,1.37
2025-08-01,14,0.5,0.9240382116294249,0.3609137313606814,2,0.1399999999999999,0.06999999999999995
2025-08-02,14,0.6041666666666666,0.7240033067476649,0.26510159844444603,4,1.43,0.3575
2025-08-03,12,0.1875,0.863637193355439,0.33205529941789574,4,-1.35,-0.3375
2025-08-04,13,0.5,0.8853441576983003,0.34222835193955087,0,0.0,0.0
2025-08-05,15,0.6363636363636364,0.807443026199686,0.3060718271462992,3,1.92,0.64
2025-08-06,13,0.8333333333333334,0.75584865071682,0.2811757163803129,2,3.0999999999999996,1.5499999999999998
2025-08-07,3,1.0,0.725719486254575,0.26667801751548403,0,0.0,0.0
2025-08-08,18,0.875,0.872307789723272,0.3376481123225533,6,9.309999999999999,1.5516666666666665
2025-08-09,15,0.46,0.7878410163432916,0.29639896412311245,7,6.489999999999999,0.927142857142857
2025-08-10,15,0.26,0.86096573219419,0.32943600478061075,5,2.87,0.5740000000000001
2025-08-11,11,0.6071428571428571,0.7748983101766516,0.2891968498309904,3,-0.52,-0.17333333333333334
2025-08-12,15,0.9,0.7054166953730773,0.2567678834993599,6,7.319999999999999,1.22
2025-08-13,15,0.4814814814814815,0.781902784613194,0.2917505538454673,3,-0.6599999999999999,-0.21999999999999997
2025-08-14,7,1.0,0.8376015414194082,0.32122701034421247,2,4.04,2.02
2025-08-15,28,0.4848484848484848,0.8366954269166146,0.31949782211161526,10,3.8000000000000007,0.38000000000000006
2025-08-16,15,0.6363636363636365,0.7876545336488554,0.2965360946534992,5,5.62,1.124
2025-08-17,14,0.37777777777777777,0.7863156062854765,0.2948540395979848,4,1.53,0.3825
2025-08-18,12,0.45714285714285724,0.6869108890860134,0.24664178753457197,4,-1.39,-0.3475
2025-08-19,15,0.6538461538461539,0.8615785079357717,0.3316323472626614,3,4.6000000000000005,1.5333333333333334
2025-08-20,13,0.725,0.7416304979501043,0.2740927192238305,5,3.21,0.642
2025-08-21,9,0.65,0.7331931878143333,0.2696681323759874,2,0.79,0.395
2025-08-22,15,0.23076923076923078,0.9255566969301436,0.36291288959513496,1,-1.0,-1.0
2025-08-23,14,0.606060606060606,0.9319033087215969,0.3643488416723362,1,1.76,1.76
2025-08-24,13,0.47500000000000003,0.7844710351137709,0.29423213880941157,3,2.44,0.8133333333333334
2025-08-25,13,0.625,0.7763810949549891,0.2906126595363986,2,0.74,0.37
2025-08-26,15,0.9318181818181819,0.7965253708951828,0.30036919383103194,3,5.36,1.7866666666666668
2025-08-27,15,0.07692307692307693,0.9926798507924718,0.39355167192397755,1,-1.0,-1.0
2025-08-28,8,0.3333333333333333,0.9424555431612687,0.3685533275974644,0,0.0,0.0
2025-08-29,15,0.37037037037037035,0.7920406413062434,0.2977647399717876,0,0.0,0.0
2025-08-30,15,0.1428571428571429,0.7672634942078648,0.28589647076477903,1,-1.0,-1.0
2025-08-31,14,0.696969696969697,0.7506298336673556,0.2778913121066756,4,3.6390909090909087,0.9097727272727272
2025-09-01,13,0.36111111111111105,0.7763119672171694,0.29087002572038784,5,3.05,0.61
2025-09-02,14,0.45833333333333337,0.7182989865393653,0.2624516329044203,7,4.39,0.6271428571428571
2025-09-03,15,0.5714285714285714,0.6792568051434809,0.24319432469223154,10,5.17,0.517
2025-09-04,6,0.0,0.8542093871318516,0.32910018152989967,3,-3.0,-1.0
2025-09-05,15,0.5714285714285714,0.6930524883972148,0.24993823032426493,9,0.95,0.10555555555555556
2025-09-06,15,0.2777777777777778,0.795668692142232,0.2999057118043069,4,-4.0,-1.0
2025-09-07,13,0.575,0.7852994055258281,0.29392098179900283,4,1.31,0.3275
2025-09-08,11,0.25,0.9127822766979103,0.35153600561664927,4,1.52,0.38
2025-09-09,15,0.3703703703703704,0.809352935811031,0.30622438335183877,4,-1.49,-0.3725
2025-09-10,15,0.5555555555555556,0.8033657858001998,0.3040233629011073,6,6.790000000000001,1.1316666666666668
2025-09-11,9,0.625,0.97040072351534,0.3836650686092547,0,0.0,0.0
2025-09-12,15,0.45999999999999996,0.9231404018381362,0.3568314499957323,1,1.99,1.99
2025-09-13,15,0.5909090909090909,0.9988798330593074,0.38976331225508454,0,0.0,0.0
2025-09-14,14,0.5,0.8823311337023061,0.3393922235638659,4,0.5800000000000001,0.14500000000000002
2025-09-15,9,0.7142857142857143,0.7886327770709765,0.2960464752693108,4,3.9800000000000004,0.9950000000000001
2025-09-16,15,0.7272727272727273,0.7715444343391435,0.2882279784677537,5,6.1,1.22
2025-09-17,14,0.3,0.8430835207649653,0.3224408010364822,4,-1.53,-0.3825
