game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
778443,2.7777777777777777,1.2222222222222223,2.75,1.625
778443,2.7777777777777777,1.2272727272727273,2.75,1.4642857142857142
778443,2.4545454545454546,1.5,2.6,1.9090909090909092
778443,2.4545454545454546,1.3333333333333333,2.6,1.75
778443,2.4545454545454546,1.2222222222222223,2.6,1.625
778443,2.4545454545454546,1.2272727272727273,2.6,1.4642857142857142
778424,2.6666666666666665,1.7142857142857142,4.5,2.45
778415,1.7777777777777777,1.391304347826087,1.608695652173913,1.4242424242424243
778418,2.1666666666666665,2.1,1.0454545454545454,3.3333333333333335
778426,2.230769230769231,2.0,2.588235294117647,2.7857142857142856
778416,7.333333333333333,1.6666666666666667,3.4,1.2608695652173914
778411,1.25,8.5,1.3529411764705883,3.230769230769231
778412,1.7,15.5,1.8,3.5
778413,4.5,1.75,6.142857142857143,2.0526315789473686
778405,2.2222222222222223,6.6,2.0,3.6923076923076925
778410,1.8888888888888888,1.2222222222222223,2.4166666666666665,1.6
778414,3.111111111111111,1.6923076923076923,2.1818181818181817,2.3684210526315788
778403,4.5,1.9230769230769231,4.833333333333333,2.3181818181818183
778402,2.375,1.6666666666666667,2.6153846153846154,2.3125
778407,6.25,1.6,3.4545454545454546,1.2307692307692308
778408,2.375,1.25,2.0,1.2857142857142858
778409,2.1666666666666665,1.8888888888888888,1.125,3.1875
778404,2.090909090909091,1.7142857142857142,2.4444444444444446,3.1666666666666665
778417,6.333333333333333,1.8,6.8,1.4736842105263157
778406,2.8333333333333335,2.142857142857143,2.6363636363636362,2.75
778401,1.5714285714285714,6.666666666666667,1.4666666666666666,3.727272727272727
778400,1.5,12.5,1.7058823529411764,3.6666666666666665
778394,1.6363636363636365,7.0,1.4444444444444444,2.235294117647059
778396,3.8,2.4,6.833333333333333,2.6666666666666665
778398,1.8181818181818181,4.5,1.9444444444444444,3.2666666666666666
778397,1.5833333333333333,1.25,2.1333333333333333,1.0714285714285714
778395,2.8,1.9090909090909092,2.45,2.4705882352941178
778389,2.857142857142857,1.5333333333333334,2.111111111111111,1.34375
778390,12.0,1.3333333333333333,3.9,1.1538461538461537
778387,3.6666666666666665,2.7,4.0,2.55
778385,2.8,3.0,1.3333333333333333,3.0714285714285716
778381,3.857142857142857,2.0,2.7777777777777777,2.6
778380,5.333333333333333,1.7142857142857142,6.5,2.3333333333333335
778376,1.25,1.7142857142857142,2.066666666666667,1.2142857142857142
778392,2.5555555555555554,1.625,1.5238095238095237,3.2857142857142856
778383,1.9166666666666667,4.428571428571429,2.2222222222222223,4.384615384615385
778391,2.75,1.3571428571428572,2.6,2.0
778386,2.111111111111111,1.7142857142857142,2.4444444444444446,4.111111111111111
778399,3.0,2.2222222222222223,5.0,1.6666666666666667
778393,2.4285714285714284,1.5,2.357142857142857,2.2666666666666666
778388,1.7142857142857142,6.25,1.75,3.6666666666666665
778379,2.111111111111111,7.666666666666667,1.5555555555555556,2.933333333333333
778382,2.2857142857142856,3.1666666666666665,4.857142857142857,1.894736842105263
778378,2.4166666666666665,1.1764705882352942,2.2222222222222223,1.7619047619047619
778373,2.1666666666666665,3.8,2.066666666666667,4.875
778371,2.0,5.2,1.380952380952381,3.1333333333333333
778377,2.5,2.5,2.6470588235294117,3.6666666666666665
778384,2.875,0.8888888888888888,2.7857142857142856,1.9375
778375,2.0833333333333335,3.75,2.388888888888889,2.066666666666667
778374,1.8,2.4285714285714284,1.1538461538461537,2.176470588235294
778367,2.2857142857142856,1.9166666666666667,4.714285714285714,2.1
778370,2.5,2.0,2.227272727272727,2.125
778369,1.5555555555555556,2.5555555555555554,1.16,2.0
