game_pk,date,venue,away_team,home_team,away_runs,away_hits,away_doubles,away_triples,away_homeruns,away_rbi,away_walks,away_strikeouts,away_stolen_bases,away_caught_stealing,away_hit_by_pitch,away_at_bats,away_obp,away_slg,away_ops,away_avg,away_left_on_base,away_sac_bunts,away_sac_flies,away_ground_into_dp,away_total_bases,home_runs,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_hit_by_pitch,home_at_bats,home_obp,home_slg,home_ops,home_avg,home_left_on_base,home_sac_bunts,home_sac_flies,home_ground_into_dp,home_total_bases,away_innings_pitched,away_earned_runs,away_pitcher_strikeouts,away_pitcher_walks,away_pitcher_hits,away_pitcher_homeruns,away_pitcher_era,away_pitcher_whip,away_hit_batters,away_wild_pitches,away_balks,away_pitches_thrown,away_strikes,home_innings_pitched,home_earned_runs,home_pitcher_strikeouts,home_pitcher_walks,home_pitcher_hits,home_pitcher_homeruns,home_pitcher_era,home_pitcher_whip,home_hit_batters,home_wild_pitches,home_balks,home_pitches_thrown,home_strikes,away_errors,away_putouts,away_assists,away_chances,away_passed_balls,away_double_plays,home_errors,home_putouts,home_assists,home_chances,home_passed_balls,home_double_plays
778537,2025-03-29,George M. Steinbrenner Field,Colorado Rockies,Tampa Bay Rays,2,6,1,0,0,2,0,9,0,0,0,33,.243,.262,.505,.200,8,0,0,0,7,1,12,2,0,0,1,5,3,1,0,0,35,.347,.385,.732,.292,20,0,0,2,14,9.0,1,3,5,12,0,2.12,1.47,0,1,1,154,89,9.0,2,9,0,6,0,1.50,0.89,0,0,0,129,94,0,0,15,42,0,0,0,0,6,33,0,0
778539,2025-03-29,loanDepot park,Pittsburgh Pirates,Miami Marlins,4,9,1,0,0,3,8,10,6,0,0,42,.326,.274,.600,.189,29,0,0,1,10,5,13,5,0,0,5,3,9,2,0,0,45,.339,.368,.707,.255,26,1,1,1,18,11.1,3,9,3,13,0,3.49,1.41,0,0,0,180,123,12.0,2,10,8,9,0,2.70,1.33,0,0,0,184,115,1,0,16,51,0,0,1,0,19,56,0,0
778531,2025-03-29,Globe Life Field,Boston Red Sox,Texas Rangers,3,7,2,0,1,3,6,11,0,0,0,34,.286,.317,.603,.208,25,0,0,0,12,4,8,2,0,1,4,1,5,1,0,2,30,.310,.391,.701,.250,15,0,0,1,13,8.0,4,5,1,8,1,3.60,1.16,2,0,0,128,81,9.0,3,11,6,7,1,3.00,1.19,0,0,0,167,104,1,0,7,31,0,0,0,0,8,35,0,0
778530,2025-03-29,Daikin Park,New York Mets,Houston Astros,1,1,1,0,0,1,4,9,2,0,0,28,.260,.216,.476,.136,10,0,0,0,2,2,5,1,0,1,2,4,6,0,1,0,27,.290,.224,.514,.176,14,0,0,1,9,8.0,2,6,4,5,1,1.80,1.12,0,0,0,120,73,9.0,1,9,4,1,0,1.33,0.93,0,0,0,133,78,0,0,12,36,0,0,0,0,7,34,0,0
778520,2025-03-29,Petco Park,Atlanta Braves,San Diego Padres,0,5,1,0,0,0,5,5,1,1,0,29,.288,.292,.580,.177,13,0,0,2,6,1,4,1,0,0,1,2,7,0,1,1,27,.310,.407,.717,.264,7,0,0,0,5,8.0,1,7,2,4,0,4.50,1.25,1,0,0,120,78,9.0,0,5,5,5,0,2.33,1.19,0,0,0,134,74,0,0,6,30,0,0,0,0,11,38,0,0
778532,2025-03-29,Chase Field,Chicago Cubs,Arizona Diamondbacks,4,8,2,0,2,4,1,9,0,0,0,36,.281,.308,.589,.198,11,0,0,0,16,3,9,2,0,1,3,3,7,0,0,0,35,.353,.524,.877,.305,19,0,0,0,14,9.0,3,7,3,9,1,5.32,1.52,0,0,0,138,95,9.0,4,9,1,8,2,5.00,1.26,0,0,0,112,78,1,0,7,35,0,0,2,0,12,41,0,0
778533,2025-03-29,Dodger Stadium,Detroit Tigers,Los Angeles Dodgers,3,6,0,1,0,3,4,13,0,0,0,32,.328,.400,.728,.238,15,0,0,1,8,7,7,3,0,3,7,3,9,1,0,0,31,.315,.503,.818,.224,7,0,0,0,19,8.0,7,9,3,7,3,6.75,1.11,0,0,0,139,90,9.0,3,13,4,6,0,2.93,1.28,0,1,0,157,98,0,0,7,31,0,0,0,0,7,34,0,0
778521,2025-03-29,T-Mobile Park,Athletics,Seattle Mariners,4,9,0,0,1,4,2,7,0,0,0,36,.295,.427,.722,.233,15,0,0,1,12,2,5,1,0,0,1,6,12,4,0,2,30,.321,.256,.577,.174,24,0,0,1,6,9.0,1,12,6,5,0,1.38,1.19,2,0,0,160,94,9.0,3,7,2,9,1,4.00,1.19,0,1,0,146,100,2,0,2,31,0,0,1,0,10,38,0,0
778526,2025-03-30,Nationals Park,Philadelphia Phillies,Washington Nationals,1,8,0,0,0,1,4,6,0,0,1,33,.383,.468,.851,.275,21,0,0,2,8,5,9,4,0,2,5,0,11,0,0,1,31,.313,.495,.808,.252,8,1,0,0,19,8.0,5,11,0,9,2,4.67,1.22,1,0,0,132,90,9.0,1,6,4,8,0,5.79,1.71,1,1,0,125,83,0,0,5,29,0,0,1,0,9,37,0,0
778523,2025-03-30,Yankee Stadium,Milwaukee Brewers,New York Yankees,3,6,0,0,1,3,2,10,1,0,0,33,.298,.345,.643,.236,12,0,0,0,9,12,11,0,0,4,11,4,6,0,0,1,33,.427,.804,1.231,.333,11,0,1,1,23,8.0,12,6,4,11,4,12.75,2.08,1,1,0,171,104,9.0,3,10,2,6,1,3.33,1.26,0,0,0,138,85,0,0,4,28,0,0,0,0,5,32,0,0
