game_pk,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9,home_bp_era_rolling_5,away_bp_era_rolling_5,home_bp_era_rolling_10,away_bp_era_rolling_10,home_bp_whip_rolling_5,away_bp_whip_rolling_5,home_bp_whip_rolling_10,away_bp_whip_rolling_10,home_bp_k_per_9_rolling_5,away_bp_k_per_9_rolling_5,home_bp_k_per_9_rolling_10,away_bp_k_per_9_rolling_10,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10,home_bp_hr_per_9_rolling_10,away_bp_hr_per_9_rolling_10,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
5057812,9.7,11.3,10,10,1.03,0.88,3,8,0.31,0.71,2,12,0.21,1.06,9,14,0.93,1.24,1,3,0.1,0.26,2.79,6.35,1.24,1.94,8.38,11.12,4.5,1.17,0.93,2.38,1.86,9.53,2.793093816917873,6.352959861646651,2.793093816917873,6.352959861646651,1.241375029741277,1.941182179947588,1.241375029741277,1.941182179947588,8.37928145075362,11.11767975788164,8.37928145075362,11.11767975788164,4.5,1.1666666666666667,4.5,1.1666666666666667,0.9310312723059576,2.3823599481174944,1.8620625446119157,9.529439792469978
5057813,12.0,11.0,9,8,0.75,0.73,7,2,0.58,0.18,10,9,0.83,0.82,17,12,1.42,1.09,4,0,0.33,0.0,5.25,1.64,1.58,1.55,12.75,9.82,1.7,1.33,3.0,0.0,7.5,7.36,5.250043750364586,1.6363636363636365,5.250043750364586,1.6363636363636365,1.5833465278877323,1.5454545454545454,1.5833465278877323,1.5454545454545454,12.750106250885423,9.818181818181818,12.750106250885423,9.818181818181818,1.7,1.3333333333333333,1.7,1.3333333333333333,3.000025000208335,0.0,7.500062500520838,7.363636363636363
5057814,8.7,10.3,4,14,0.46,1.35,1,12,0.12,1.16,5,12,0.58,1.16,16,5,1.85,0.48,1,2,0.12,0.19,1.04,10.45,1.04,2.52,16.62,4.35,3.2,0.42,1.04,1.74,5.19,10.45,1.0384575443940602,10.451646618214896,1.0384575443940602,10.451646618214896,1.0384575443940602,2.516137148829512,1.0384575443940602,2.516137148829512,16.615320710304964,4.35485275758954,16.615320710304964,4.35485275758954,3.2,0.4166666666666667,3.2,0.4166666666666667,1.0384575443940602,1.741941103035816,5.192287721970301,10.451646618214896
5057815,8.0,6.3,17,13,2.12,2.05,10,10,1.25,1.58,5,3,0.62,0.47,6,5,0.75,0.79,0,1,0.0,0.16,11.25,14.21,2.75,2.53,6.75,7.11,1.2,1.67,0.0,1.42,5.62,4.26,11.25,14.210601108426888,11.25,14.210601108426888,2.75,2.526329085942558,2.75,2.526329085942558,6.75,7.105300554213444,6.75,7.105300554213444,1.2,1.6666666666666667,1.2,1.6666666666666667,0.0,1.4210601108426888,5.625,4.263180332528067
5057816,8.0,8.3,5,8,0.62,0.96,2,5,0.25,0.6,4,6,0.5,0.72,7,7,0.88,0.84,2,1,0.25,0.12,2.25,5.4,1.12,1.68,7.88,7.56,1.75,1.17,2.25,1.08,4.5,6.48,2.25,5.4000216000864,2.25,5.4000216000864,1.125,1.6800067200268798,1.125,1.6800067200268798,7.875,7.560030240120959,7.875,7.560030240120959,1.75,1.1666666666666667,1.75,1.1666666666666667,2.25,1.08000432001728,4.5,6.48002592010368
5057817,10.7,13.3,13,8,1.22,0.6,6,5,0.56,0.38,5,5,0.47,0.38,11,17,1.03,1.28,2,3,0.19,0.23,5.06,3.38,1.69,0.98,9.28,11.48,2.2,3.4,1.69,2.03,4.22,3.38,5.062484179736938,3.3750084375210934,5.062484179736938,3.3750084375210934,1.6874947265789793,0.9750024375060936,1.6874947265789793,0.9750024375060936,9.281220996184386,11.47502868757172,9.281220996184386,11.47502868757172,2.2,3.4,2.2,3.4,1.6874947265789793,2.025005062512656,4.218736816447448,3.3750084375210934
5057818,9.0,11.3,13,14,1.44,1.24,9,7,1.0,0.62,3,8,0.33,0.71,8,12,0.89,1.06,2,0,0.22,0.0,9.0,5.56,1.78,1.94,8.0,9.53,2.67,1.5,2.0,0.0,3.0,6.35,9.0,5.558790830642172,9.0,5.558790830642172,1.7777777777777777,1.9411650519702823,1.7777777777777777,1.9411650519702823,8.0,9.529355709672297,8.0,9.529355709672297,2.6666666666666665,1.5,2.6666666666666665,1.5,2.0,0.0,3.0,6.352903806448197
5057819,10.0,13.0,9,8,0.9,0.62,4,1,0.4,0.08,6,8,0.6,0.62,18,14,1.8,1.08,1,0,0.1,0.0,3.6,0.69,1.5,1.23,16.2,9.69,3.0,1.75,0.9,0.0,5.4,5.54,3.6,0.6923076923076923,3.6,0.6923076923076923,1.5,1.2307692307692308,1.5,1.2307692307692308,16.2,9.692307692307692,16.2,9.692307692307692,3.0,1.75,3.0,1.75,0.9,0.0,5.4,5.538461538461538
5057820,8.0,13.7,5,22,0.62,1.61,0,19,0.0,1.39,0,15,0.0,1.1,12,12,1.5,0.88,0,3,0.0,0.22,0.0,12.51,0.62,2.71,13.5,7.9,0.0,0.8,0.0,1.98,0.0,9.88,0.0,12.512256157347108,0.0,12.512256157347108,0.625,2.707330279659901,0.625,2.707330279659901,13.5,7.902477573061332,13.5,7.902477573061332,,0.8,,0.8,0.0,1.975619393265333,0.0,9.878096966326664
5057821,14.0,17.0,12,13,0.86,0.76,5,8,0.36,0.47,9,14,0.64,0.82,15,22,1.07,1.29,1,3,0.07,0.18,3.21,4.24,1.5,1.59,9.64,11.65,1.67,1.57,0.64,1.59,5.79,7.41,3.2142857142857144,4.235294117647059,3.2142857142857144,4.235294117647059,1.5,1.588235294117647,1.5,1.588235294117647,9.642857142857142,11.647058823529411,9.642857142857142,11.647058823529411,1.6666666666666667,1.5714285714285714,1.6666666666666667,1.5714285714285714,0.6428571428571429,1.588235294117647,5.785714285714286,7.411764705882353
